id,n_esperado_personas,lugar
694,24082,49 Hintze Alley
697,15223,8 Parkside Way
698,4578,8 Tony Pass
700,10124,65 Havey Drive
701,9362,2 Westend Avenue
702,19791,12 Darwin Alley
708,17493,098 Bunting Circle
715,7353,464 Meadow Ridge Lane
716,24284,09939 Everett Court
717,7290,93524 High Crossing Pass
718,16129,9925 Ludington Plaza
720,20029,5 Towne Avenue
721,12520,79 Crescent Oaks Trail
722,8652,02 Algoma Trail
732,16113,6 Evergreen Terrace
733,11756,199 Bellgrove Place
735,15279,2422 Clove Street
736,21587,42 Old Gate Hill
737,7247,07634 Dawn Court
741,4529,7255 Swallow Road
743,10255,617 Rowland Place
745,18730,5 Fuller Way
749,13875,680 2nd Point
750,20965,9 Jenna Drive
751,11048,8 Anniversary Point
752,16794,84 Harper Place
753,20289,81936 Maple Wood Park
754,2612,5 Sauthoff Road
757,11177,72 Kedzie Avenue
760,2693,40185 Reindahl Center
762,19753,64 Messerschmidt Court
763,20798,92663 International Alley
768,17405,25 Waubesa Place
772,7676,5 Maple Wood Center
773,12039,7886 Dryden Lane
777,17634,5 Claremont Place
779,11325,4604 Annamark Street
780,9062,5 Carioca Parkway
781,20354,2030 Oriole Court
786,11388,99 Maywood Center
787,18002,43921 Kedzie Place
788,16847,4 Vera Road
796,23245,85 Katie Street
797,22513,35693 Pine View Circle
799,23996,21 Forest Dale Lane
803,5115,64401 Ramsey Park
806,21983,5741 Bonner Alley
807,22311,65 Corry Center
808,11237,2001 Chive Lane
814,1776,485 Lighthouse Bay Road
815,5802,837 Dapin Pass
819,15105,485 Holy Cross Avenue
820,17050,2 Vahlen Place
821,6629,73806 Eggendart Junction
822,16036,828 Aberg Crossing
823,12758,86527 Lukken Center
824,258,22 Hollow Ridge Crossing
825,16795,464 Meadow Ridge Lane
827,9798,8 Toban Drive
828,16247,344 Victoria Place
833,20563,1954 Moulton Terrace
835,14663,2333 Tomscot Parkway
836,2097,0964 Bartillon Parkway
837,20912,2678 Quincy Junction
838,1328,37518 Ridgeway Pass
839,16935,9 Pawling Plaza
842,15386,6094 Oxford Lane
844,8271,8 Northport Crossing
845,24284,37 Algoma Trail
846,12389,9 Commercial Road
851,6425,2 Tony Plaza
852,11341,92 Green Drive
858,14624,2 Sunfield Way
859,11589,68 Nobel Hill
860,1812,30152 Quincy Place
861,8300,0 Butterfield Court
862,21092,11 Beilfuss Alley
864,5141,43 Sommers Drive
872,21133,719 Nova Way
873,10698,48 Fisk Trail
874,22279,1480 Manitowish Park
879,17402,55 American Lane
880,20581,7839 Anhalt Junction
881,8408,54 Mayfield Court
885,12407,5 Fuller Way
886,16904,03009 Birchwood Terrace
888,20437,77 Talmadge Trail
889,3403,3 Continental Avenue
890,9616,3 Mallard Alley
892,24381,317 Spohn Park
895,1335,84 Lakewood Street
896,16723,19349 Farmco Point
898,20821,7982 Mallory Point
899,5923,9069 Maywood Pass
900,11834,366 Straubel Crossing
901,3994,67220 Sutherland Terrace
903,3962,89 Dennis Junction
904,16342,48 Sutherland Crossing
907,20410,331 David Alley
908,24600,40576 South Pass
909,21664,2 Tony Plaza
910,4366,94223 Village Green Trail
911,15915,89 Dennis Junction
915,15635,63870 Golden Leaf Alley
916,12706,1712 Granby Avenue
918,5548,24 Sachtjen Alley
919,19264,3577 Raven Terrace
922,17314,6 Pankratz Parkway
924,17300,41 Eagle Crest Crossing
926,2580,2 Sunfield Way
928,18159,261 5th Terrace
931,12192,0 Melvin Junction
932,10057,2 Mitchell Point
933,8822,3688 6th Terrace
934,24975,0 Nancy Parkway
936,6035,4902 Warrior Alley
937,22419,04618 Northridge Hill
939,21850,144 Tomscot Alley
940,11187,8934 Kim Avenue
943,5326,4 New Castle Lane
945,13723,63 Burning Wood Circle
947,11131,4 Vera Road
948,17875,49 Hintze Alley
949,12996,445 Moose Road
951,7310,47 Corscot Crossing
955,23457,109 Prairieview Drive
958,8358,77738 Everett Parkway
959,8727,6 Jenifer Road
960,4215,676 Mayer Parkway
963,15158,050 Crest Line Hill
964,18275,76421 Red Cloud Drive
965,9037,487 1st Point
967,13440,5 Eastwood Junction
968,17541,8710 Pond Place
976,4554,98 Fieldstone Crossing
982,4110,7 Longview Junction
983,7830,99833 Rusk Terrace
984,5390,22 Continental Center
988,18424,15 Dahle Pass
989,20476,61 Elgar Plaza
992,16178,652 Hollow Ridge Way
993,4700,2 Hudson Court
997,13450,3 Hagan Way
999,11350,15442 Florence Place
1002,13758,08 Morningstar Drive
1003,1795,54 Mayfield Court
1004,9506,194 Golf Center
1007,20440,870 Gina Hill
1008,12932,81 Amoth Lane
1009,6273,8936 Holmberg Hill
1012,15572,5741 Bonner Alley
1013,9015,5715 Cottonwood Point
1014,24999,9273 Maple Wood Court
1018,16120,963 Michigan Way
1021,21934,6554 Mosinee Drive
1022,17147,652 Hollow Ridge Way
1025,57,4 Fuller Court
1026,2921,828 Aberg Crossing
1028,21368,44 Elka Junction
1030,19363,134 Green Ridge Lane
1032,10538,3782 Corry Street
1033,15059,3 Parkside Trail
1034,9314,19349 Farmco Point
1039,6945,3 Continental Avenue
1042,16153,4227 Chinook Alley
1044,17005,50 Susan Drive
1046,14853,41 Arizona Road
1048,15685,24319 Heffernan Terrace
1049,23588,562 Bluejay Park
1050,21134,06 Nevada Hill
1054,10858,62678 Nevada Circle
1055,4834,485 Lighthouse Bay Road
1062,20343,9100 Morning Plaza
1064,16315,240 Doe Crossing Hill
1066,7676,6 Jay Junction
1067,20793,9 Pawling Plaza
1070,20100,64 Messerschmidt Court
1071,18573,1 Summit Terrace
1072,5196,4 New Castle Lane
1074,24069,15442 Florence Place
1078,15545,77 Hauk Alley
1079,5904,956 Rusk Terrace
1080,11609,222 Claremont Court
1081,11126,081 Northridge Lane
1082,23057,22124 Red Cloud Point
1083,2528,784 Corscot Point
1084,21307,381 Meadow Ridge Street
1085,20792,06 Monument Lane
1086,5736,2422 Clove Street
1087,23346,65 Reinke Lane
1088,22235,69643 Menomonie Park
1089,7652,3858 Westport Pass
1093,5302,8 Parkside Way
1095,11994,93136 Calypso Lane
1097,8117,64 2nd Street
1100,16051,69 Miller Road
1101,12946,2 Badeau Court
1103,15727,24319 Heffernan Terrace
1105,5737,69643 Menomonie Park
1107,7049,50 Susan Drive
1111,9097,2 Drewry Hill
1113,20006,040 Huxley Trail
1115,1002,10930 Monument Crossing
1116,2280,8 Schmedeman Hill
1118,9472,483 Schlimgen Avenue
1121,24341,1 Heffernan Center
1124,15676,1441 Fuller Park
1126,2802,0 Blaine Park
1129,21018,64401 Ramsey Park
1130,3055,3036 Anthes Terrace
1133,1012,3 Colorado Point
1134,14109,7902 Upham Terrace
1135,14731,177 Weeping Birch Pass
1140,17188,98 Anzinger Lane
1142,8731,13 Shasta Terrace
1143,215,1 Dexter Way
1145,20952,61074 Memorial Alley
1152,12440,19456 Nancy Parkway
1153,21193,71 Forest Run Plaza
1155,20793,30163 Monument Trail
1156,7827,84 Onsgard Way
1158,12406,3 Vahlen Lane
1160,10734,586 Sunbrook Point
1163,2844,8 Toban Drive
1164,22613,90 Farragut Circle
1165,22931,0 Anzinger Lane
1168,1786,8 Montana Junction
1172,7812,1833 Acker Park
1173,20264,2 Rowland Drive
1174,8897,77 Hauk Alley
1179,19374,92663 International Alley
1183,4974,73264 Dapin Alley
1184,11986,9 Jenna Drive
1188,8100,092 Ilene Point
1195,17982,755 Carpenter Alley
1196,4179,67500 8th Alley
1199,20288,27121 Bunting Point
1201,23193,30373 Prairie Rose Way
1202,23838,81670 Kipling Alley
1205,8249,31 Anniversary Pass
1207,13386,0 Muir Park
1209,859,676 Mayer Parkway
1210,17677,6568 Carpenter Park
1211,8734,48959 Lerdahl Crossing
1212,14356,69643 Menomonie Park
1215,19832,0 Gerald Center
1216,9511,0 Butterfield Trail
1217,9018,900 Dixon Street
1219,8570,89 Chinook Street
1220,8508,50 Susan Drive
1222,24353,23 Valley Edge Avenue
1224,20865,562 Northland Terrace
1225,17090,934 Kingsford Lane
1227,7522,3078 Huxley Plaza
1229,13780,8 Pearson Hill
1231,18861,966 Warrior Alley
1235,22330,3 Emmet Center
1237,3537,0 Melvin Junction
1238,22682,6 Pankratz Parkway
1242,16465,4 Commercial Court
1243,16362,0962 Nobel Hill
1244,16315,22 Reindahl Trail
1246,20945,94 Jenifer Park
1251,2215,79764 Warbler Park
1253,464,1 Meadow Vale Lane
1254,3831,580 Eggendart Crossing
1256,1252,98044 Hooker Circle
1257,4201,367 Hoard Park
1258,893,80837 Meadow Valley Plaza
1262,4653,0593 Stoughton Plaza
1265,8193,53 Veith Trail
1268,24660,19 Troy Alley
1269,16585,0 Carpenter Plaza
1272,17415,63927 Del Mar Avenue
1275,9624,81671 Grim Alley
1276,5732,8 Toban Drive
1277,5529,9 Jenna Drive
1279,13225,668 Northport Avenue
1281,5004,36 Northwestern Crossing
1282,13783,58620 Lillian Hill
1283,584,676 Mayer Parkway
1285,18811,65 Algoma Hill
1286,17455,38 Montana Hill
1287,21382,2814 Stone Corner Avenue
1288,8445,7 Village Green Parkway
1289,2268,89 Chinook Street
1290,5650,9456 Northwestern Terrace
1291,22843,8934 Kim Avenue
1292,10458,2 Sutteridge Lane
1294,2413,7 Everett Court
1298,5953,50 Truax Crossing
1299,13204,984 Spaight Avenue
1300,14262,11 Beilfuss Alley
1301,608,81884 Esker Drive
1302,6571,430 Crest Line Crossing
1303,6607,31 Ridgeview Place
1306,1341,562 Bluejay Park
1309,18099,2 Harper Trail
1310,15007,806 Coleman Way
1311,3126,7622 Packers Street
1312,4117,10 New Castle Park
1315,4717,957 Corben Terrace
1317,8537,37885 Summit Pass
1318,19596,84 Lakewood Street
1320,7165,06 Monument Lane
1321,20462,6 Algoma Lane
1322,16571,81936 Maple Wood Park
1324,10081,12 Darwin Alley
1325,9832,9966 Schlimgen Pass
1328,21883,2 Randy Plaza
1330,4395,5572 Sloan Terrace
1331,16809,039 Menomonie Plaza
1333,16312,36055 Hintze Park
1337,9336,6358 Caliangt Court
1342,4468,47 Corscot Crossing
1343,9025,00286 Farragut Pass
1344,8924,8 Toban Drive
1345,18258,9563 Bellgrove Road
1347,10902,9 Green Pass
1348,4188,3 Forest Avenue
1349,14243,02480 Coleman Way
1350,12752,578 Manitowish Place
1351,16290,3079 Scofield Crossing
1352,17167,09 Kingsford Lane
1355,10635,53 Kensington Alley
1359,7745,4 Oakridge Crossing
1360,24188,22 Reindahl Trail
1362,18389,4573 Russell Lane
1367,8927,8 Emmet Terrace
1368,19790,53 Veith Trail
1370,21244,9 Oakridge Park
1373,1756,79 Schlimgen Hill
1376,18709,43 Sommers Drive
1378,7882,528 Bunker Hill Crossing
1381,19929,956 Rusk Terrace
1384,6393,92663 International Alley
1387,4038,15581 Acker Lane
1390,3045,152 Prairieview Pass
1391,8810,4 Vera Road
1393,22766,1441 Fuller Park
1394,11926,7622 Packers Street
1399,8127,430 Crest Line Crossing
1400,9088,36 Goodland Crossing
1402,10156,4 7th Place
1404,24378,77 Talmadge Trail
1405,15623,8 Gale Plaza
1406,8936,8 Shoshone Road
1407,17285,68 Nobel Hill
1411,4491,77834 Arapahoe Street
1412,127,7 Sycamore Junction
1414,12300,755 Carpenter Alley
1415,15912,677 Kenwood Lane
1416,19813,59 Gina Plaza
1418,495,833 Cody Avenue
1419,6834,485 Lighthouse Bay Road
1422,11911,923 Lyons Place
1426,18888,481 Susan Court
1427,20092,893 Lawn Place
1428,4514,19 Mallory Crossing
1432,6445,83 Mosinee Circle
1434,20289,8 Tony Pass
1436,6679,3 Mallard Alley
1437,3474,05553 Mosinee Pass
1438,22468,6213 Portage Road
1439,9314,7384 Memorial Terrace
1442,7760,03271 Bashford Trail
1443,1351,22 Lawn Crossing
1444,22604,48 Sutherland Crossing
1445,1086,1 Logan Trail
1448,14477,7362 Tennessee Crossing
1449,7881,9273 Maple Wood Court
1450,9129,49016 Gateway Lane
1451,7123,8 Dottie Alley
1452,14202,562 Northland Terrace
1455,23392,2560 International Crossing
1458,10676,0 Clarendon Parkway
1463,4648,9 Waubesa Place
1464,16090,486 Bellgrove Hill
1467,23962,44 Maple Court
1468,20068,7857 Pennsylvania Park
1471,22383,381 Meadow Ridge Street
1474,955,7508 Esch Point
1476,4815,8810 Summer Ridge Junction
1482,4834,920 Prentice Court
1487,6789,9 Sycamore Street
1488,9622,8786 Pearson Hill
1491,19396,06 Nevada Hill
1493,13385,7981 Elka Place
1494,1096,8 Northport Crossing
1495,15160,9 Rigney Drive
1497,17237,7417 Green Place
1498,17749,538 Eastwood Terrace
1503,16367,1 Dexter Way
1505,11276,63927 Del Mar Avenue
1506,1436,00286 Farragut Pass
1509,24088,050 Crest Line Hill
1513,24226,78 Declaration Trail
1514,1499,0 Carpenter Plaza
1516,7045,99018 Veith Drive
1519,2105,31 Duke Court
1520,14826,6462 Washington Circle
1522,5736,586 Sunbrook Point
1523,10106,02 Golf Course Park
1524,15226,161 Parkside Circle
1525,16911,26 Portage Hill
1526,4148,8719 Vahlen Road
1529,11716,8 Wayridge Avenue
1530,2124,37518 Ridgeway Pass
1536,15364,668 Northport Avenue
1537,9864,960 Boyd Place
1538,13556,78 Declaration Trail
1539,24629,2030 Oriole Court
1540,7902,21 Forest Dale Lane
1543,11618,6089 Burning Wood Plaza
1544,4706,0593 Stoughton Plaza
1545,21973,6 Farragut Center
1546,16628,2560 International Crossing
1551,20529,240 Doe Crossing Hill
1553,14961,4604 Annamark Street
1555,6255,450 Warner Road
1558,4210,02 Golf Course Park
1559,20419,85364 Lyons Court
1560,15797,5839 Fulton Avenue
1562,3363,43 Hauk Center
1564,588,06500 Browning Terrace
1565,19175,7 Everett Court
1566,11031,6213 Portage Road
1567,3902,2 Vahlen Place
1568,16595,41 Bluestem Street
1570,23297,38473 Moland Alley
1573,21195,945 Amoth Avenue
1580,3007,14 5th Drive
1582,12385,93572 Crest Line Court
1585,3349,86 Anthes Way
1588,18115,60 Cascade Circle
1590,20841,55 Comanche Lane
1591,7008,4040 East Drive
1592,18923,0180 Mifflin Park
1594,11430,7 Cottonwood Road
1599,18991,40576 South Pass
1600,11434,8217 Buhler Terrace
1601,12252,99833 Rusk Terrace
1606,438,77152 Meadow Ridge Pass
1608,23527,59 Dahle Avenue
1611,14094,09101 Columbus Road
1612,13107,3 Jenifer Avenue
1613,20175,9157 Union Center
1619,22505,014 Vidon Court
1620,5696,7468 Bultman Park
1626,12051,3432 Arizona Hill
1627,17280,27 Emmet Drive
1629,13895,781 Heffernan Place
1631,1466,222 Claremont Court
1634,9680,161 Parkside Circle
1635,16743,9 Pawling Plaza
1639,11098,869 Springview Drive
1640,10803,10 New Castle Park
1641,102,781 Heffernan Place
1642,17693,7468 Bultman Park
1643,12495,69 Miller Road
1644,19788,22124 Red Cloud Point
1645,19598,9069 Maywood Pass
1646,7464,41 Bluestem Street
1647,12210,674 2nd Park
1651,15098,77 Talmadge Trail
1652,22215,613 Evergreen Road
1653,7996,1617 Springs Terrace
1654,5130,84 Onsgard Way
1655,19446,28683 Colorado Plaza
1657,11932,1954 Moulton Terrace
1659,8351,920 Everett Pass
1663,6775,35693 Pine View Circle
1664,5104,2 Sutteridge Lane
1668,887,90546 Coolidge Trail
1669,4390,30163 Monument Trail
1670,215,96 West Trail
1671,7177,424 Goodland Alley
1672,11283,36 Commercial Lane
1673,8283,81936 Maple Wood Park
1674,15219,8 Northport Crossing
1675,16349,6 Shopko Circle
1676,17198,299 Riverside Trail
1677,16333,6 Jay Junction
1680,19895,41 Commercial Hill
1682,21610,781 Heffernan Place
1684,3719,491 Gerald Parkway
1686,13237,93 Calypso Center
1688,12928,64 Messerschmidt Court
1690,15033,47 Nova Parkway
1693,19300,0 Coleman Terrace
1694,13300,039 Menomonie Plaza
1695,18416,092 Ilene Point
1697,7480,70 Pleasure Avenue
1702,24246,3 Straubel Circle
1703,4393,5 Fieldstone Court
1704,23326,492 Maywood Parkway
1707,8507,1 Heffernan Center
1708,1670,4620 Meadow Ridge Road
1710,24603,30163 Monument Trail
1711,1893,6378 Orin Court
1713,22924,79457 Aberg Court
1714,6779,3 Fairfield Terrace
1715,23523,4466 Morningstar Way
1717,12991,852 Continental Park
1720,6338,19 Aberg Parkway
1729,21166,7384 Memorial Terrace
1731,9849,0 Green Ridge Point
1734,17645,7532 3rd Way
1735,15753,44 Grim Plaza
1739,21714,19200 Donald Terrace
1743,10045,5239 Clyde Gallagher Plaza
1749,9678,41 Luster Drive
1750,3630,9563 Bellgrove Road
1751,13096,54 Sheridan Way
1752,12977,843 Killdeer Hill
1754,2908,1194 Portage Avenue
1755,13490,5839 Fulton Avenue
1757,24763,47 Corscot Crossing
1758,22745,141 Upham Hill
1760,5351,0 Carpenter Plaza
1762,16257,2 Randy Plaza
1763,19164,9445 Hovde Terrace
1766,12992,37 Algoma Trail
1769,4065,8 Wayridge Avenue
1771,1328,41 Schmedeman Alley
1772,1382,6 Debs Lane
1773,20722,75270 Moulton Plaza
1775,12330,6094 Oxford Lane
1776,14247,5100 Commercial Drive
1778,23205,7405 Towne Trail
1779,9282,5572 Sloan Terrace
1780,18774,6378 Orin Court
1781,5051,4 Bowman Way
