número,fecha_dictamen
15489-36709-BL,2019-01-09
44898-65648-NL,2016-10-24
47842-38319-FL,2018-01-05
70840-46159-IA,1996-08-06
95619-82163-MF,2001-07-06
77044-72351-BI,2018-03-25
74461-72782-EB,2016-06-26
16503-37302-BD,2011-11-30
772-77603-DB,1988-12-10
18642-73174-BB,2016-02-03
17228-3064-MM,2014-09-22
27069-62591-KF,2014-11-15
46089-64886-FD,2009-03-28
3745-30024-FG,2019-05-08
77927-41652-AE,2019-07-19
99473-82631-BE,2019-08-27
46312-65664-OI,2018-04-07
90429-36681-LM,2016-02-13
56670-69690-NE,2018-02-27
94976-35914-BB,2005-03-16
53700-56432-IB,2013-04-23
87920-12322-GM,2011-09-06
95580-80242-AG,2016-01-06
75641-27577-KE,2017-06-17
11698-17269-GG,2012-01-20
70803-2500-FA,2019-08-12
73341-28996-HD,2004-04-01
37724-4760-EE,2018-04-12
29414-34696-KF,2014-07-22
37166-48188-KE,2019-08-02
51806-27866-EI,1999-12-29
76889-13160-GM,1997-10-31
83687-78588-BF,2000-08-04
40525-27952-FH,2005-01-11
87079-72213-HH,2018-08-10
34823-55667-OO,2017-08-11
57366-40429-DK,2018-03-14
50662-64907-DB,2005-11-09
18261-63848-NB,2011-12-04
46357-59986-GB,2017-01-31
23413-42861-IJ,2018-07-26
37480-31228-AO,2017-04-08
61983-62485-LB,2018-12-30
28904-6829-DK,2019-06-26
58413-913-LB,1988-10-09
99665-71158-BK,2011-10-26
57206-54530-DD,2007-05-22
78898-94927-BN,1992-10-12
22773-32540-GK,2019-08-02
54323-48069-BB,2018-07-27
92680-33292-ID,2009-07-30
54320-63443-IG,1984-12-23
25560-62492-IF,2019-05-17
34379-59717-IF,2012-12-13
84402-80852-OF,2002-04-14
19834-44866-KH,2017-10-13
70956-36162-DE,2018-02-03
33429-60129-JB,2016-05-02
35514-43848-JL,2009-11-28
25251-67670-BJ,2016-11-18
56452-53818-KL,1995-06-02
74760-34547-AM,1989-08-07
79002-3443-MF,2019-04-07
73255-18796-LG,2019-06-12
9382-11896-GJ,2018-06-10
86035-37342-LK,2009-12-24
13118-46964-NG,2013-01-12
87267-3789-AN,2018-05-18
54666-43312-HG,2017-04-08
91497-47373-AM,2015-09-07
22449-69777-OL,1974-09-25
66157-28678-DB,2017-02-26
72791-38993-ME,2019-06-28
54255-53453-LH,2018-12-10
65594-17989-BA,2007-07-29
5606-48994-GG,2015-03-14
8832-44419-GO,2018-02-16
40701-75051-OF,2019-05-24
54278-71074-LM,2015-08-02
78658-80170-BA,2013-09-13
25421-78810-EI,2012-10-24
29342-43591-EJ,2015-02-09
81320-70549-ED,1973-05-15
89035-78027-BK,2012-12-04
77544-16087-ND,2014-05-08
52271-62239-NA,1987-04-25
49914-18228-EO,2010-03-20
53092-57870-IK,2016-07-19
82175-37613-NA,1989-07-09
46636-91960-GI,2007-01-13
9775-26500-DB,2015-11-09
22519-82571-EB,2018-12-31
75370-89021-KJ,2019-02-16
37596-86844-LJ,2009-11-20
6152-92269-OF,1992-03-10
88027-9716-IG,2016-04-12
70903-65750-FN,2018-03-30
26633-65881-KM,2012-08-18
97380-26930-JD,2017-09-08
16076-75777-HG,2014-01-30
11641-34307-IJ,2018-06-07
25509-30252-GB,2017-11-12
73320-42264-KK,2007-12-25
40868-84822-MB,2012-10-09
47853-21136-BD,2006-09-02
90211-78689-NG,2019-08-26
1599-59083-NL,2000-09-20
98510-75106-MB,1999-03-30
78386-7425-LB,2019-05-20
37911-51049-GB,2018-02-17
85214-87335-HK,2019-08-16
83333-17784-OI,1991-10-24
26458-21930-AO,2017-05-02
43980-91445-GF,2015-11-11
3186-41407-HD,2019-07-09
48895-50224-BO,2019-05-06
39077-17093-IO,2016-11-01
95639-66226-KA,2002-01-13
66203-16639-HB,2018-05-25
18723-61185-NL,2018-02-11
41719-34380-HN,2012-01-14
1671-13940-FB,1992-10-27
47987-72458-NA,2018-10-07
227-34265-AJ,2018-01-22
68232-33256-BE,2011-10-22
37574-50937-IO,2017-05-15
16168-65139-HL,2017-03-12
70909-4295-FI,2017-04-11
54728-45409-MH,1997-08-11
50212-33116-MJ,2009-06-10
65076-92515-FA,2017-07-08
1870-81037-GN,2013-04-20
7778-81018-OO,2015-09-17
46798-97702-AB,2009-05-11
60125-88020-EJ,1995-08-07
23331-39321-EA,2019-04-04
8847-70563-GA,2016-06-16
78927-34906-AF,2013-12-03
76002-31884-HB,2011-02-07
22419-89006-MN,2009-05-15
24676-34240-MD,2018-11-15
58039-4526-DN,1980-01-05
24514-730-FM,2016-03-06
23788-66193-BD,2018-05-03
5201-79340-GL,2019-03-11
31390-10675-JI,1990-06-17
79438-70598-OA,1999-05-10
17949-48556-JA,2017-07-23
73862-79566-NH,2018-05-02
14105-17965-NF,2018-09-21
79531-56651-LH,2008-02-17
14031-50854-DI,1969-12-30
92571-15775-IG,2009-11-26
28515-47758-HA,2015-12-26
66801-89792-MN,2016-11-23
5332-26842-JN,2019-08-05
19997-23211-BK,1985-06-15
22684-50841-DL,2003-05-14
74518-75950-BE,2007-10-20
41314-95451-KA,1993-03-05
88280-15844-GF,2019-03-04
89113-30145-NE,2019-02-27
20495-64198-KA,2016-05-08
31612-27030-GN,2012-12-25
56633-55074-MH,2015-08-29
99687-54592-NF,2018-03-28
88104-35890-NB,2017-06-08
73598-14413-EL,2016-04-04
24053-31033-EH,1996-02-15
17636-7621-BE,2005-03-25
87414-9611-GL,2014-07-31
45806-17701-BD,1999-05-09
47238-166-AO,2013-07-25
97851-38763-KB,2018-07-17
23059-52229-IO,2014-10-31
59766-622-AD,1996-01-08
73961-74990-OI,1997-09-19
38445-14261-KI,2017-05-16
8408-55431-HD,2011-08-19
58310-81724-EM,2015-01-03
38317-81420-LK,2016-07-06
13113-91204-IB,2010-08-04
88355-75891-DO,2006-12-01
18375-32934-HA,2019-02-17
43937-17188-FK,2012-08-10
84781-76951-OM,2014-08-16
40917-85780-OG,2011-01-03
22569-85132-EO,2019-01-18
25648-25070-ML,2019-05-16
62210-85464-BE,2005-03-03
81340-3193-BF,1994-01-27
69702-57651-GF,2019-05-07
20294-68376-MI,2014-07-12
62438-58719-ID,2010-11-20
98872-17698-DB,1995-10-27
87345-98996-FN,1989-07-12
61716-54477-GH,1996-05-05
35747-61648-GI,2015-05-31
91609-9651-NA,2015-09-14
29882-86331-BE,2003-11-04
67925-92389-AM,2013-01-12
63632-88004-NO,1973-03-19
36238-26381-HE,2004-04-10
4436-2326-IK,2018-08-22
5930-54688-NB,2017-05-12
23452-61348-AE,2018-06-24
86127-94020-IG,2018-03-07
15117-86590-BE,2019-08-30
52501-35380-BA,2019-05-04
10297-96037-NB,2019-01-04
18699-22073-FF,2010-03-24
39740-33960-AE,2019-06-13
73187-45555-LG,2015-04-01
18030-36968-NJ,2019-05-27
93856-11256-BG,2007-04-17
2253-23657-AK,2019-04-29
92284-59559-KK,2019-08-23
72863-84806-KE,2018-03-24
54164-4511-DB,1998-09-27
51938-21205-OJ,1996-07-10
40946-82076-LO,2015-05-27
43995-44394-MM,2018-07-28
53774-66575-MB,2018-05-08
67830-43035-BN,2014-07-02
71513-92419-OA,1999-05-20
3586-19278-BL,2019-02-16
21728-78263-KG,2016-07-23
86680-48983-OI,2003-07-31
53761-16248-JH,2011-02-24
79431-80670-LF,1990-11-14
46358-99061-OO,1994-04-11
67745-25836-HO,2019-02-17
78766-65377-ML,2017-10-04
1889-67972-MO,2016-08-21
21780-67227-EE,2018-04-30
63996-26058-DI,2019-07-07
92065-31029-BA,2016-12-08
55755-56717-BD,1999-01-29
67349-49899-HF,2006-02-25
15499-11395-BK,1971-02-01
78952-5907-EF,2014-04-23
39898-58963-LH,2010-10-22
17765-54876-GE,2017-05-01
31087-51550-DK,2019-08-17
75190-29365-KA,2009-08-26
11196-6830-JF,2002-04-26
53633-38143-FO,2016-01-27
87545-5148-DM,2012-03-12
22793-36725-DH,1997-09-07
5880-50821-KB,2019-04-06
34887-50690-FJ,2004-08-25
36124-42584-BH,2016-09-14
30892-82624-LH,1993-07-10
46213-77123-AI,2010-01-23
69260-49230-DD,2008-12-02
13827-22125-NI,2018-04-12
77091-52112-BB,1994-04-03
16561-56709-DI,2018-12-11
19133-4266-FO,2017-01-09
23260-58469-BG,1992-01-22
12661-73432-IE,2007-02-21
26031-677-MB,2007-10-25
92732-20240-NA,2009-04-12
83612-36874-EN,2018-12-05
32735-96762-FJ,2016-03-14
87973-82136-BB,2015-01-18
55320-17047-BA,2012-09-16
16834-16078-EA,1995-07-10
95677-87702-IA,1985-11-01
76674-16027-NJ,2016-01-04
17173-54488-OA,2019-06-29
99503-33039-MA,1995-11-26
28177-20876-EB,1982-05-12
15963-32663-FD,2010-06-16
26116-55035-KB,2015-04-27
90077-64093-FF,2013-05-13
3831-95115-IE,2006-07-03
47014-81990-AK,2011-03-27
13216-18575-KH,2019-04-12
42444-63954-DD,2015-06-29
75054-76434-NE,2015-02-05
56899-69529-BN,2019-04-20
46288-28815-LH,2008-09-24
52159-40798-EB,2000-01-24
60866-18656-FB,2007-01-26
12342-9658-LH,1995-02-04
60817-10105-GE,2008-11-24
18743-65639-BO,2018-07-15
71959-72466-AO,2014-06-16
59332-18424-DA,2019-08-09
81752-96365-GD,2018-04-11
5639-16870-MB,2013-10-20
77633-50657-DA,2013-04-26
25599-34576-AE,2015-08-23
29657-4103-IF,2011-11-14
49688-92691-FE,2019-08-18
70137-56890-HN,2013-08-21
68856-40737-NK,2001-09-22
82195-14046-LO,2016-12-08
28600-8488-HJ,2002-06-30
56647-42502-AD,2018-01-12
60038-57619-BO,2019-06-28
15914-82677-BI,2019-07-03
35182-19831-HH,2000-05-06
47444-41443-FH,1996-11-13
7934-32949-KE,2010-06-12
67183-7387-FA,1994-03-16
86588-91383-JD,2000-01-05
61597-66009-IM,2011-09-22
46320-8513-NN,2016-03-06
87829-17879-BM,1985-01-07
19257-66234-EB,2010-12-11
67525-44905-OA,2017-10-30
7895-68461-OJ,2004-07-27
33633-19647-OL,2011-11-24
79161-17288-BA,1999-06-02
84644-52766-KF,2009-04-25
70381-51138-OM,1994-10-15
86037-18059-MO,2014-07-02
8999-42371-AH,2001-06-26
1899-25603-MN,1984-09-25
88641-24696-GO,2016-05-05
70434-40618-BA,2017-11-25
99640-97447-FG,2019-03-13
98130-23480-OA,2019-08-27
96548-74673-HO,2017-12-03
92749-97770-BO,2018-10-14
41319-78582-JM,2018-12-03
76011-68346-EO,2018-09-22
52841-57823-ID,2018-08-23
52530-31141-LE,1999-07-27
65722-41979-AG,2017-10-16
14765-40161-KM,2019-02-06
43480-26468-BA,1993-09-25
30720-19511-BF,2010-11-16
43266-80914-GA,2012-01-31
89011-68127-KK,2002-06-30
84411-45006-KK,2017-10-14
93424-71561-BO,2018-08-26
36287-34715-HF,2010-05-03
33685-28233-DO,1995-03-23
34427-80802-KN,2014-12-06
83406-55486-LK,2019-03-02
11290-61850-GE,2019-04-03
52881-82973-BJ,2012-03-11
19385-82093-AJ,2011-04-23
29511-32952-MN,2019-08-20
52215-90963-JD,2018-12-14
2293-10939-DN,2011-09-06
92749-43026-BG,1992-11-20
7396-80687-GK,2019-03-31
46858-46602-BJ,2004-09-28
9690-71077-NB,2016-04-30
96415-12979-DK,2001-07-23
4482-90530-OM,1997-10-18
23089-62116-DM,2002-05-31
98898-88465-FL,1975-03-09
74555-7557-JA,2017-07-08
59481-17423-DG,2018-01-30
52815-71131-LO,2019-08-01
72601-12798-BI,2000-01-01
57419-14597-HO,2019-05-26
54082-25486-JA,1998-07-01
58490-29388-BO,2019-08-28
73973-45133-HF,1995-12-21
5077-87269-FA,2008-08-16
4107-17683-AE,2018-09-08
45760-84407-HB,2013-06-26
65891-21432-OD,2018-12-29
81498-13737-NL,2017-10-12
15773-43001-OK,2017-06-24
1048-1576-JF,2000-10-22
56348-90944-BB,2013-01-08
65662-54822-OH,2017-02-13
95297-81760-LN,2015-04-02
74819-3605-AK,2005-12-29
20124-29706-DL,2007-05-16
43773-38360-HO,2018-04-22
72493-29886-KH,2004-06-25
81142-59386-ME,1982-05-11
77610-37-OB,2019-08-06
98968-29143-IJ,2018-09-14
26953-83996-KE,2018-07-30
16279-75937-JI,2018-09-02
59350-46142-KJ,2010-05-20
13773-15136-HB,2009-05-30
6375-82595-HF,2013-12-25
86908-27228-HH,2019-05-02
93213-15506-GL,2018-07-21
44625-48291-GA,2007-08-24
76442-80743-HL,2012-09-24
29354-32901-NI,2015-12-27
14477-18964-OD,2014-12-26
54619-8930-BG,1991-03-17
66478-4933-NG,2017-08-21
22979-99943-MO,2011-07-05
18961-97544-KD,2019-05-24
85856-95158-MB,1985-09-05
34083-71049-OO,2007-05-16
29318-34865-EA,2003-10-01
97840-52918-NK,2017-07-28
89847-59126-NN,2017-02-01
91562-88497-KE,2019-08-11
46699-75218-ED,2018-03-04
7348-34541-HB,2000-02-06
56369-8332-AD,2002-05-04
17958-3267-NG,2015-10-17
55181-77178-LN,1997-08-08
56713-62803-AE,2019-06-01
13253-98183-EB,2008-06-08
35476-37213-FG,2012-09-03
17793-70475-NF,2015-06-20
53776-85965-NG,2019-06-27
8700-73071-MD,2012-02-27
71811-42782-MH,2017-11-03
98474-86225-KD,2016-07-16
89437-87142-BI,2019-08-11
51263-79843-MB,2019-06-20
34737-17127-ED,2009-11-20
36098-1854-HO,2015-05-15
65658-26378-JJ,2019-08-24
90919-23833-FK,1997-02-12
72208-78137-JA,2019-05-08
63620-41909-BG,2017-02-01
51912-87752-LL,1982-02-08
20204-52986-HD,1996-08-16
69099-63486-KE,2018-11-30
73402-78680-HF,2011-01-19
37170-9166-BI,2017-05-31
44872-57274-HI,2016-04-20
90758-65896-BD,2019-07-08
94831-48106-HL,1975-02-23
49854-87732-AK,2006-05-28
50645-69919-DM,2017-03-01
12290-64424-OE,2017-07-28
91571-60062-AN,2009-12-01
88995-64668-IA,1999-10-25
17638-67276-NH,1997-06-16
89603-37807-HG,2018-03-13
40743-10883-DB,1994-09-13
51697-44766-EA,2016-08-07
51819-80058-KF,2019-08-01
77898-10604-IG,2016-10-06
16073-21902-BH,2019-07-03
9310-48628-FL,2017-05-06
81341-44442-OF,2011-01-12
50894-3795-JE,2003-01-03
36513-64327-AE,2015-11-22
68565-94447-LJ,2014-05-25
23329-59331-OA,2015-04-18
33410-42093-IJ,2014-05-16
30056-17350-BH,2018-06-21
84813-42647-FD,2018-08-08
92474-66064-NN,2010-01-17
54701-95462-GL,2019-07-02
45370-75523-OG,1988-05-07
30961-40858-OB,2016-10-04
78396-28833-JO,2006-12-18
44024-84022-IE,2016-08-04
39079-20547-AH,2018-08-25
51790-65795-GE,2019-07-25
57835-44880-DE,2004-06-29
79292-20475-GB,2011-10-03
86066-53347-FF,2003-12-18
36234-19203-FN,1990-08-10
78884-56156-FK,1996-07-07
37715-61674-AA,2008-10-03
78230-5797-EG,2019-04-25
50340-35367-JB,1995-04-25
51430-61935-AI,2015-12-22
27689-72567-DG,1991-03-08
38745-62800-KH,1995-07-18
50150-12462-HG,2017-05-14
64372-18798-IO,2019-04-03
97475-36107-AF,2016-07-03
64269-40017-NM,2016-06-26
4499-73289-OM,2019-04-03
86519-31611-HH,2019-02-24
17381-45899-LF,2013-06-03
88293-52542-NL,1989-06-16
59600-64091-JH,2009-09-17
80705-74676-LH,2011-08-25
16515-59243-NI,2018-08-14
38116-72701-HF,2004-12-03
51834-24227-NE,2014-11-11
5458-21013-DH,1995-01-03
20647-69613-FH,2019-01-05
92860-70226-OJ,2015-02-13
25275-20504-JH,2014-08-14
2241-19669-KO,2016-03-24
53724-36122-MJ,1976-02-06
45573-95932-JN,2003-10-16
65074-9664-HE,2017-05-23
9928-48956-MN,2018-10-30
627-72034-IG,2014-09-21
88772-82934-NE,1992-02-04
6373-70087-BL,2017-11-23
93791-83240-HJ,1992-01-12
80360-65941-FE,2012-08-29
65927-69316-DN,2014-01-13
32881-41955-EB,2012-04-19
37913-38544-OH,2010-02-18
76268-80945-IL,1985-07-23
5713-97437-OJ,2019-04-21
62213-81405-NF,2006-01-18
99845-58699-BJ,2019-05-18
42478-49124-AN,2014-07-07
93953-82782-DB,2019-07-08
83283-93109-OL,2019-03-23
6127-42377-BN,2019-07-29
7095-36191-ME,2018-04-07
90868-18488-LL,2016-11-17
81871-20219-GL,1987-04-08
58606-60079-MF,1964-09-30
55323-42065-DI,2018-08-15
83990-6923-MO,2012-06-09
11539-58111-OJ,2014-12-15
54742-21401-DK,2017-07-16
61635-66510-BG,2015-01-27
84159-43996-GK,2002-10-26
9259-38806-AG,2009-11-08
61434-62529-BG,2018-11-13
42677-98248-FO,2019-08-07
78264-43001-OM,2007-04-12
6474-21852-BE,2012-08-01
1944-7535-GO,2018-08-25
56250-67092-MI,2018-07-27
99285-71398-MG,2018-07-12
15957-37860-GM,2016-12-14
79367-34965-IE,2018-11-28
30762-38914-FH,2015-01-27
99050-85831-MB,2001-03-10
74972-39603-EA,2019-07-03
92868-98666-BA,2010-11-29
40575-28667-MB,2018-08-02
83099-69985-IB,2001-03-31
55066-89137-HM,1981-11-07
11270-2133-FH,2010-07-05
13928-22629-FB,2011-03-02
19384-33754-BH,2016-10-30
32926-46394-JE,1990-06-29
7167-17071-MN,2019-04-07
64620-8221-FJ,2016-12-31
23374-78536-DO,2019-04-15
42463-43806-OE,2010-05-28
87810-14844-DB,2017-06-16
16533-76720-MH,1980-11-15
34741-49101-BF,2007-04-07
66675-71715-BK,1996-04-14
28103-76944-KH,2017-03-23
49632-29899-JF,2009-01-20
80831-10898-OB,2018-09-26
74126-66371-JI,2019-04-16
42079-71220-AD,1985-01-30
55822-89358-FA,2016-11-03
45400-95000-LA,2011-11-14
593-44993-FL,2007-08-27
74908-74287-MA,2016-07-26
68053-97395-FD,2013-07-25
99171-9954-BB,2019-08-10
13895-63098-IK,2002-03-13
66909-90749-AB,2016-11-19
69323-85816-OK,2000-05-04
98529-94758-LO,2017-10-09
44524-25058-NJ,1979-04-12
76798-23292-AB,2016-03-04
19624-68429-AD,2006-01-10
28734-47339-DN,2009-03-27
24125-69062-GB,2010-04-26
12463-74756-OK,2012-08-05
98660-42691-BE,2013-11-13
38311-99894-BK,2005-12-22
62899-24509-ED,2015-01-09
4718-65867-EH,2019-03-14
71102-84728-BI,1980-08-19
8888-17823-GI,2015-07-31
67941-60681-KO,2006-11-21
35988-7921-JJ,2006-12-11
15977-36241-IN,2017-06-15
43122-15728-NK,2019-06-22
44981-38533-LD,2015-04-13
11404-18024-ED,2018-10-07
92834-37077-OB,2012-08-13
69321-62174-ND,2015-01-29
74004-40384-EK,2012-09-02
83533-17169-KN,2001-05-18
58071-52208-GH,2018-01-26
7723-90720-OI,2005-09-02
70249-38591-EJ,2009-10-08
7861-64489-HD,2016-08-24
13031-52833-NE,2009-03-06
84650-95169-LJ,2017-02-22
69134-80125-LH,2016-03-02
25089-20410-MG,2018-10-30
22461-25450-BL,2011-12-20
75385-1995-LD,1993-05-23
28274-75799-JO,2019-03-18
56403-12644-EE,2007-12-18
7061-11023-MM,2013-01-11
18039-81824-HE,2016-02-12
33604-85591-IK,1984-12-01
94797-74575-NB,2016-06-28
93676-51807-DB,2012-09-04
70749-61958-HD,2017-05-20
72218-3486-MK,2004-11-08
3708-51080-GJ,2015-01-10
51771-80123-AH,2016-04-10
15164-97027-OO,2018-07-10
44238-3344-OI,1992-09-29
99564-43306-DL,2006-01-03
34133-73251-KM,2019-05-26
38970-67822-GF,1999-09-19
9342-20465-BG,2016-11-03
31626-77108-EK,2019-06-24
66681-53911-ND,2015-07-24
3083-47182-NJ,2018-08-24
96020-37281-BB,2007-07-08
9640-80669-JF,2007-11-20
45301-5241-KN,2018-06-18
76701-8930-NN,2017-02-13
1905-18221-JK,2013-09-09
44446-31481-MH,2001-05-01
9318-58427-OO,1970-04-10
19595-17583-NH,2017-12-08
95669-48059-EM,2014-05-05
45866-66756-NE,2018-11-08
98348-3410-JD,2014-01-22
51361-54213-OE,2014-04-29
2241-5253-LF,2014-01-02
80023-68097-BL,2019-08-17
98595-48855-AK,2007-12-21
29746-47101-FG,2011-07-23
5804-50964-EH,2018-01-27
76953-39705-NL,2001-07-13
60419-16793-MM,1996-11-30
67830-77768-DE,2012-06-13
70045-98822-IB,2019-02-17
39462-56107-OL,2007-05-26
25616-91210-ND,1979-12-16
3766-5360-DO,2019-08-04
9147-12886-LN,1999-03-02
30266-91675-FD,2016-06-28
55560-33894-HH,2019-08-08
75816-16353-DN,2019-01-07
76900-62477-FL,2019-08-20
61624-77739-OA,2019-08-28
66318-85726-DL,2012-08-03
97354-21849-GM,2000-09-04
1021-7552-LM,2011-05-27
19827-99829-OE,2014-09-12
1266-8494-BN,2000-07-28
18789-77918-AG,2018-10-30
62572-15879-HA,2018-09-15
88397-27653-IF,1975-12-21
92926-6350-NN,2005-11-15
34916-7036-LG,2017-10-08
77576-57730-HB,2019-07-28
41942-48829-AI,2017-11-11
50540-22674-DE,2015-07-05
83466-61663-MJ,2019-07-15
6510-90921-MG,1994-12-06
28300-79864-JF,1980-02-03
88629-72465-LL,2000-12-15
22464-93626-AO,2000-03-30
29658-97131-IB,2002-06-17
94869-889-MH,2019-08-12
83741-36454-JB,1994-03-03
50342-37932-MD,2016-04-07
19276-59590-FD,2014-10-18
56530-11105-BE,2004-01-19
66723-89972-EN,2014-12-08
51846-35730-HJ,1997-09-07
16973-56808-AG,1994-07-31
89165-99202-BA,2018-05-25
11992-15712-KH,1990-09-23
78132-15295-LI,1999-02-18
42807-12802-MO,2019-02-28
33756-40666-MN,2005-07-03
21219-6931-FG,2016-07-10
82953-7730-BB,2017-05-12
86635-60941-AN,2001-02-09
47734-47150-BF,2011-12-18
19967-94224-MD,2005-03-02
98958-52300-BO,2017-08-30
98691-77280-FA,2010-01-25
80778-29384-FM,2018-09-20
2947-93016-OM,2015-02-18
47203-6600-DI,2017-06-22
34940-67338-IB,2019-08-26
68508-65212-HI,2003-02-14
42760-72836-BM,1988-12-19
97105-27930-OK,2019-08-17
61334-74252-DI,1996-10-17
39996-31215-LO,2002-06-16
49959-90034-GO,2009-06-09
25999-69032-JO,2004-12-22
12177-79609-LB,2016-03-05
82990-84908-IJ,2018-05-23
54993-89786-AK,2019-06-13
8928-74797-JN,2019-02-21
5055-50452-KO,2013-07-27
20210-43274-MA,2019-05-08
50662-20944-DJ,2011-07-01
24081-40592-IN,1996-09-06
66699-12579-FM,2017-12-27
14094-96348-KL,2012-11-18
81478-50474-LA,1991-11-09
70197-47622-HD,2019-08-12
11487-5277-MO,1992-08-27
98276-52811-HH,2009-09-04
16897-62638-OO,2016-12-13
62393-17866-KI,2019-08-02
24407-30806-AG,2018-11-26
54677-68508-JK,2014-01-07
97304-17667-GE,2019-02-03
72870-78406-DO,1999-11-14
18103-8715-NG,2018-04-20
56346-99393-GN,2010-09-23
43550-95207-EF,2017-04-05
57382-48953-HO,2019-07-04
20569-81633-NB,2019-07-30
73894-46474-BB,2015-12-22
74225-87206-IM,2000-02-19
35168-56113-MB,2018-01-15
66418-69704-GJ,2018-10-14
91659-64978-AK,2007-12-28
7746-53673-FF,2017-06-25
5151-16815-DN,2009-03-27
60174-54917-LL,2007-09-28
32211-86324-BB,2012-02-09
28180-10909-GG,2019-08-13
70440-66845-BB,2019-03-27
26415-28243-AG,2014-07-08
19944-2222-AK,2019-07-30
96573-16418-HO,2017-06-28
33611-40909-NM,2018-01-11
94810-63183-IL,1994-05-24
86525-59179-JL,2009-10-02
3360-93885-NL,2017-03-20
41289-78818-IL,2016-04-22
59701-5287-BD,1981-11-05
97439-59363-AI,2016-03-03
75036-65275-HK,2004-02-28
5090-93447-JN,2006-12-19
38628-14914-JE,1999-08-26
11955-16891-II,2015-11-19
70708-73283-LJ,2019-06-04
69920-89888-BM,2014-03-04
75841-66240-LM,2017-10-22
68062-69059-NG,2017-08-27
96977-48887-GK,2019-01-12
23719-80145-HI,2009-08-03
18319-87452-HI,2014-06-02
55664-27186-GJ,2002-05-04
34179-88687-EB,2006-05-13
18517-61620-IN,2018-04-22
10577-97873-EJ,2019-07-08
60649-96176-ON,2009-12-30
76824-57341-BM,2014-06-17
29657-37773-BE,2003-02-16
76992-17558-JD,2018-01-20
84565-32980-OG,2003-02-27
