id,presupuesto (US$),tipo,fecha,ONG,proyecto
129,264685,marcha,1991-02-01,Brown ,"Pinnacle Financial Partners, Inc."
130,2955,marcha,2018-11-10,Quitzon Group,CMP - Cerro Negro Norte
131,707859,marcha,2009-06-17,Zieme-Langworth,La Pepa
132,421021,marcha,2017-09-24,Nolan Inc,Lota
133,748755,marcha,1972-08-27,"Dibbert, Mckenzie And Cronin",ENGlobal Corporation
134,98607,redes sociales,2012-12-04,"Auer, Bogisich And Jacobson","Evolving Systems, Inc."
135,284759,marcha,2005-01-14,Mcglynn ,CMP - Boquerón Chañar
136,33997,redes sociales,1982-01-08,"Hickle, Beatty And Gleichner",Peapack-Gladstone Financial Corporation
137,911409,redes sociales,1998-11-11,Ernser-Eichmann,Spence
138,29142,marcha,2017-04-19,Buckridge Group,El Tofo
139,135010,redes sociales,2019-06-01,"Wyman, Nicolas And Fahey",La Productora
140,539747,redes sociales,2017-07-04,Aufderhar-Mitchell,Chimborazo
141,584573,marcha,1992-03-27,"Steuber, Rutherford And Upton",Refugio
142,516683,marcha,2010-10-13,Greenholt Inc,Ojos del Salado
143,915000,redes sociales,2007-05-31,Jacobson Group,Zaldívar
144,638880,marcha,2017-03-06,Rowe-Wisoky,PowerShares BuyBack Achievers Portfolio
145,399513,redes sociales,1971-08-23,Weissnat Inc,"National American University Holdings, Inc."
146,452579,marcha,2015-10-22,Marvin-Kautzer,Tekla Healthcare Opportunies Fund
147,127866,marcha,1994-05-04,Stiedemann-Wuckert,Ministro Hales
148,575021,marcha,1981-05-07,Paucek Group,B.O.S. Better Online Solutions
149,626082,marcha,1994-04-04,Blick-Bartell,iShares MSCI EM ESG Optimized ETF
150,603820,redes sociales,1976-06-28,Block Group,"Tootsie Roll Industries, Inc."
151,222534,redes sociales,2002-01-18,"Oberbrunner, Cremin And Gislason",AdvisorShares Market Adaptive Unconstrained Income ETF
152,817475,marcha,2011-11-17,Rosenbaum-Leffler,Jerónimo
153,353503,marcha,1985-02-11,Prohaska-Lueilwitz,Nuveen Floating Rate Income Fund
154,565829,redes sociales,2009-06-03,"Kutch, Rodriguez And Hettinger",SQM - Mapocho
155,350002,marcha,2008-09-04,"Bruen, Cruickshank And Blick",HollyFrontier Corporation
156,682377,marcha,2019-03-09,Schoen And Sons,"LTC Properties, Inc."
157,732825,redes sociales,2001-08-17,Franecki Group,Ojos del Salado
158,619193,marcha,2017-11-26,Cruickshank-Schmitt,Los Bronces
159,45045,redes sociales,1983-09-06,Pouros And Sons,Northern Trust Corporation
160,225653,redes sociales,1997-04-17,Nikolaus-Pfannerstill,PowerShares BuyBack Achievers Portfolio
161,706211,marcha,1981-10-04,Bradtke And Sons,Forum Merger Corporation
162,370297,marcha,2016-06-25,Acción Natura,"CenterPoint Energy, Inc."
163,463183,marcha,2017-07-22,Feest-Graham,"CenterPoint Energy, Inc."
164,334887,marcha,2012-09-16,"Williamson, Lindgren And Cummerata",Gladstone Commercial Corporation
165,8616,redes sociales,2008-03-13,Bartell Inc,First Trust Multi-Asset Diversified Income Index Fund
166,737620,marcha,1999-06-16,Langosh-Reilly,"Waste Management, Inc."
167,285547,marcha,1991-10-20,Ziemann-Trantow,Caleta El Cobre
168,70532,redes sociales,2001-01-30,Bechtelar-Wuckert,Bed Bath & Beyond Inc.
169,13090,marcha,1973-04-06,"Yost, Mayer And Stokes","Fiserv, Inc."
170,673597,redes sociales,2014-08-09,Fadel Group,AmerisourceBergen Corporation (Holding Co)
171,933053,marcha,2005-04-21,Brakus Group,HollyFrontier Corporation
172,46762,redes sociales,1984-01-13,"Hickle, Mertz And Harris",Peapack-Gladstone Financial Corporation
173,260865,redes sociales,2013-07-03,"Dibbert, Mckenzie And Cronin",Gladstone Commercial Corporation
174,267670,redes sociales,1998-12-23,"Wunsch, Barrows And Hoeger",Talcuna
175,920889,marcha,1998-01-09,Kreiger-Mccullough,The Community Financial Corporation
176,210912,redes sociales,2012-12-11,Zulauf And Sons,First Trust Multi-Asset Diversified Income Index Fund
177,524780,redes sociales,2002-08-19,"Kassulke, Hamill And Luettgen",Western Alliance Bancorporation
178,435605,marcha,1966-07-21,Aufderhar-Mitchell,"HCA Healthcare, Inc."
179,464376,marcha,1998-04-07,"Hayes, Goodwin And Feil","Mirna Therapeutics, Inc."
180,98648,redes sociales,1996-11-26,"Schmeler, Carroll And Schaden",Vanguard Russell 3000 ETF
181,215904,marcha,2018-12-30,Lehner-Stanton,"Waste Management, Inc."
182,446892,redes sociales,2018-02-25,Yundt Group,Array BioPharma Inc.
183,631436,marcha,2013-10-05,"Cartwright, Gusikowski And Miller",Arenal
184,691046,redes sociales,1970-12-20,"Halvorson, Jacobson And Ward",Costamare Inc.
185,627971,marcha,2013-02-25,Greenholt Inc,Gladstone Commercial Corporation
186,431155,redes sociales,1981-12-09,Thiel Group,Celite - Tilviche
187,172111,marcha,1967-09-25,Brekke-Crist,"Western Refining Logistics, LP"
188,796243,marcha,2012-02-27,"Lebsack, Borer And Sanford","Under Armour, Inc."
189,265278,marcha,1980-05-14,Carroll-Mcclure,Northern Trust Corporation
190,1863,redes sociales,2004-12-19,Maggio-O'Keefe,Faride
191,769630,marcha,1989-07-17,Nikolaus-Pfannerstill,Don Alberto
192,3253,redes sociales,2003-01-29,"Mertz, Boyle And Franecki","First Hawaiian, Inc."
193,379433,redes sociales,2017-08-26,"Powlowski, Kohler And Deckow",Pampa Camarones
194,274486,marcha,2008-09-04,Buckridge Group,HollyFrontier Corporation
195,758215,redes sociales,2006-01-08,Sawayn Inc,Eaton Vance Corporation
196,70096,redes sociales,2011-01-27,Williamson-Littel,Elenita
197,415383,marcha,1982-07-31,"Larson, Franecki And Macejkovic",CoreSite Realty Corporation
198,515859,redes sociales,2017-04-21,Waelchi Inc,Gladstone Commercial Corporation
199,455709,redes sociales,1990-03-10,Funk And Sons,Entegra Financial Corp.
200,609093,redes sociales,1982-07-16,Rice-Price,Randgold Resources Limited
201,589301,redes sociales,2014-10-25,O'Reilly-Hilll,Dollar General Corporation
202,977495,redes sociales,2011-09-19,Franecki ,SAP SE
203,959426,redes sociales,2012-07-14,"Jacobs, Braun And Schimmel",Andacollo Cobre
204,109126,redes sociales,1989-04-27,D'Amore Group,Michilla
205,577645,marcha,2012-07-27,Daniel ,Ministro Hales
206,523651,redes sociales,1998-09-06,Wehner-Steuber,Lions Gate Entertainment Corporation
207,66594,redes sociales,2015-10-16,Mann-Schinner,"Aspen Technology, Inc."
208,954325,redes sociales,1961-11-02,Hessel-Toy,Altamira
209,222620,marcha,2007-11-28,Collins-Hermann,EQT Corporation
210,867948,redes sociales,1988-06-16,"Kihn, Orn And Farrell",Merus Labs International Inc.
211,310928,marcha,1955-06-13,Thiel Group,BRF S.A.
212,695554,redes sociales,2009-09-22,Reichert And Sons,"CenterPoint Energy, Inc."
213,558597,marcha,2009-05-05,Jenkins And Sons,"Idera Pharmaceuticals, Inc."
214,446598,redes sociales,1990-03-23,Thiel ,Fidus Investment Corporation
215,734461,redes sociales,1981-02-01,Bradtke Inc,"Cleveland BioLabs, Inc."
216,209150,marcha,1997-05-10,"Morissette, Christiansen And Collins",Sierra Miranda
217,612325,marcha,1964-08-28,Raynor-Oberbrunner,CVS Health Corporation
218,875211,marcha,2001-04-08,Sporer Inc,"Financial Engines, Inc."
219,914698,redes sociales,1995-07-16,"Stiedemann, Willms And Fay","Discovery Communications, Inc."
220,110447,marcha,2009-08-14,Adavas,Quebrada Blanca
221,951390,redes sociales,2013-08-06,"Reichert, Mayer And Schmitt","The Chefs' Warehouse, Inc."
222,529799,redes sociales,2007-07-08,"Schowalter, Johnson And Kerluke",Schwager
223,960634,marcha,1982-10-31,Hirthe ,"Appliance Recycling Centers of America, Inc."
224,549191,redes sociales,1995-07-08,Stiedemann-Wuckert,"Texas Capital Bancshares, Inc."
225,589270,marcha,1976-01-26,Kunde-Lowe,"Portola Pharmaceuticals, Inc."
226,131070,redes sociales,1979-07-27,Watsica-Hauck,Navío
227,927385,marcha,2003-12-20,Russel Group,"Sportsman's Warehouse Holdings, Inc."
228,347348,redes sociales,2018-08-08,Rogahn-Leannon,Arenal
229,978386,marcha,2006-10-28,"Skiles, Bauch And Rippin",Bronce de Petorca
230,951773,marcha,2013-05-14,Wiegand Group,Julia
231,836108,marcha,2008-07-04,"Kling, Effertz And Anderson","Shutterstock, Inc."
232,343214,marcha,2016-10-11,Hintz-Donnelly,PowerShares Golden Dragon China Portfolio
233,846013,marcha,1986-08-08,"Gutkowski, Kuhlman And Purdy",PowerShares BuyBack Achievers Portfolio
234,238903,redes sociales,1967-08-07,Carter-Muller,"Adams Diversified Equity Fund, Inc."
235,123156,marcha,2006-01-05,"Dare, O'Conner And Mohr","H&R Block, Inc."
236,624760,redes sociales,1985-12-07,Rowe-Fisher,VictoryShares US 500 Enhanced Volatility Wtd ETF
237,431190,redes sociales,1989-07-03,Cassin-Mayer,JM Global Holding Company
238,853147,redes sociales,1961-03-20,"Fisher, Cummings And Rowe",CVS Health Corporation
239,787975,redes sociales,2010-07-10,Rosenbaum And Sons,Northrop Grumman Corporation
240,554315,redes sociales,2005-10-06,Sauer-Stoltenberg,Los Pelambres
241,416613,marcha,1988-06-10,Hirthe ,Cummins Inc.
242,600536,marcha,2016-08-03,"Koelpin, Stehr And Senger","Apple Hospitality REIT, Inc."
243,56543,redes sociales,1985-04-27,Wilderman-Leannon,Cosayach - Negreiros
244,76496,marcha,2012-10-03,Cole-Reilly,Los Bronces
245,490229,redes sociales,1991-03-05,Jenkins And Sons,Cohen & Steers Reit and Preferred Income Fund Inc
246,337130,redes sociales,2003-10-18,"Beer, Zieme And Huels",Navío
247,404979,marcha,1993-07-09,"Blanda, Stanton And Altenwerth",Esperanza
248,269464,redes sociales,2017-05-28,"Watsica, Spencer And Weissnat",Merus Labs International Inc.
249,573714,redes sociales,2018-09-23,"Blick, Herman And Grady",Dollar General Corporation
250,958690,marcha,1971-12-12,"Funk, Turcotte And Jenkins",EPR Properties
251,230023,marcha,2009-09-29,"Lebsack, Conn And Kulas",El Teniente
252,923609,marcha,2000-11-16,Heaney Inc,Microsemi Corporation
253,804699,marcha,2006-12-04,"Reilly, Veum And Wehner","Biocept, Inc."
254,231787,marcha,1996-05-13,Koelpin-Hand,Candelaria
255,707833,redes sociales,1980-03-30,"Becker, Haag And Hammes",Biglari Holdings Inc.
256,625964,redes sociales,2019-03-08,Yundt Group,Chimberos
257,968549,redes sociales,2010-03-11,"Kilback, Frami And Abbott","The Travelers Companies, Inc."
258,959037,marcha,2008-10-11,Walsh-Doyle,Enel Generacion Chile S.A.
259,456374,marcha,2012-11-13,Keebler-Stark,Marte Lobo
260,631607,marcha,2010-07-03,Champlin ,Cabot Corporation
261,599862,marcha,2013-03-18,Braun-Simonis,"CenterPoint Energy, Inc."
262,692300,redes sociales,1990-12-31,Raynor And Sons,JM Global Holding Company
263,646152,redes sociales,2014-11-05,Friesen-Pfeffer,"Investors Bancorp, Inc."
264,729554,redes sociales,2018-08-01,Zieme ,Catamutún
265,734663,marcha,2017-11-16,Adane,NVIDIA Corporation
266,42460,marcha,2009-12-20,"Feil, Lehner And Krajcik",Pampa Camarones
267,558246,redes sociales,1981-05-09,Luettgen And Sons,SQM - María Elena
268,358996,redes sociales,2011-05-07,Harvey And Sons,"Mirna Therapeutics, Inc."
269,549291,marcha,1992-10-03,"Ratke, Swaniawski And Spinka",Sierra Gorda
270,548585,marcha,2018-11-11,O'Keefe-Dickinson,Pirquitas
271,143614,redes sociales,2018-11-19,Boehm-Luettgen,Carvana Co.
272,639961,marcha,1986-06-25,Skiles-Schamberger,Alliance National Municipal Income Fund Inc
273,916391,redes sociales,2011-09-03,"Gusikowski, Luettgen And Cremin",Urstadt Biddle Properties Inc.
274,453286,marcha,1971-01-21,"Stokes, Kilback And Boyle",Abeona Therapeutics Inc.
275,949405,marcha,1969-01-06,Watsica-Morissette,Lambert
276,669222,redes sociales,2007-12-17,Hintz-Reilly,El Teniente
277,837739,redes sociales,1997-01-30,Zboncak Inc,Las Arenitas
278,204948,marcha,2011-09-16,Lehner-Stanton,Zaldívar
279,77262,redes sociales,2018-07-20,Wilkinson-Zboncak,PowerShares KBW High Dividend Yield Financial Portfolio
280,687141,marcha,2014-06-02,Aufderhar-Mitchell,First Trust South Korea AlphaDEX Fund
281,675859,marcha,1988-04-01,Herman-Graham,Suncor EnergyInc.
282,850801,marcha,2016-10-26,Hermiston And Sons,Western Asset Bond Fund
283,25855,redes sociales,2008-12-30,"Wilderman, Dubuque And Quitzon","Idera Pharmaceuticals, Inc."
284,354217,redes sociales,2010-10-21,"Morissette, Christiansen And Collins","Meridian Waste Solutions, Inc"
285,616447,marcha,2017-03-22,Hauck ,Quiborax - Ascotán
286,618234,marcha,2014-10-16,Becker And Sons,Tres Valles
287,627661,redes sociales,2012-11-06,Feil-Nikolaus,Cummins Inc.
288,354445,redes sociales,1982-02-19,Schowalter-Senger,Dynatronics Corporation
289,505722,marcha,2003-04-28,África Digna,Clifton Bancorp Inc.
290,951596,redes sociales,2009-06-01,Weber Inc,"Taiwan Fund, Inc. (The)"
291,960801,marcha,2017-08-21,Mcglynn ,Cerro Bayo
292,170671,marcha,2006-08-12,Little-Weber,Cóndor
293,180271,redes sociales,2015-08-27,Kuphal And Sons,U.S. Energy Corp.
294,550937,redes sociales,1981-01-12,Hoeger ,Manto Verde
295,929217,redes sociales,1995-07-02,"Glover, Dickens And Russel","German American Bancorp, Inc."
296,950832,redes sociales,2006-03-21,Schmidt-Schinner,First Trust Senior Loan Fund ETF
297,712558,redes sociales,2002-05-27,"Russel, Kemmer And Pacocha",Los Pelambres
298,463908,redes sociales,2013-01-14,Luettgen-Satterfield,Microsemi Corporation
299,299992,redes sociales,2008-02-14,Dickens ,Applied DNA Sciences Inc
300,83355,redes sociales,2016-05-28,Yost Inc,Can Can
301,121982,redes sociales,2019-06-20,"Rau, Ryan And Lueilwitz","Westbury Bancorp, Inc."
302,648858,marcha,1997-07-31,"Yost, Mayer And Stokes",Bed Bath & Beyond Inc.
303,7900,marcha,2018-12-12,Lueilwitz ,"Western New England Bancorp, Inc."
304,568045,marcha,1983-04-13,"Cole, Reichert And Halvorson","Mirna Therapeutics, Inc."
305,393859,marcha,1988-07-16,Schowalter-Senger,PIMCO Dynamic Credit and Mortgage Income Fund
306,401111,marcha,2007-06-16,"Zemlak, Cruickshank And Boehm",Lota
307,418998,redes sociales,2012-05-08,"Moen, Koss And Paucek",Forum Merger Corporation
308,488914,marcha,2014-03-20,Senger Group,Quiborax - Ascotán
309,639681,marcha,1981-01-22,Deckow And Sons,CVS Health Corporation
310,971239,redes sociales,2005-07-29,Carter-Mueller,Kraton Corporation
311,268948,redes sociales,2019-08-07,Hoeger ,Mantos Blancos
312,878459,redes sociales,1982-06-20,Jaskolski-Boyer,SQM - Yumbes
313,854561,marcha,2016-05-25,"Kling, Effertz And Anderson",III de Atacama Kozan
314,553178,marcha,2014-04-02,Brekke-Crist,Ojos del Salado
315,596263,redes sociales,2014-05-08,Weimann And Sons,Dollar General Corporation
316,135682,redes sociales,2011-03-30,"Erdman, Rutherford And Cronin",iPath US Treasury Long Bond Bear ETN
317,574646,marcha,2014-04-24,Connelly-Maggio,E*TRADE Financial Corporation
318,811989,redes sociales,2017-06-11,Gutkowski ,Cosayach - Soledad
319,653953,redes sociales,2014-09-07,"Littel, Bode And Dibbert",AmerisourceBergen Corporation (Holding Co)
320,30651,redes sociales,1979-09-13,"Oberbrunner, Cremin And Gislason",Voya Global Equity Dividend and Premium Opportunity Fund
321,864006,marcha,1964-03-26,"Gusikowski, Luettgen And Cremin",III de Atacama Kozan
322,661725,redes sociales,1990-05-14,Heller-Rohan,Las Pataguas
323,998815,redes sociales,2017-07-22,Mertz Inc,Franke
324,990823,marcha,1991-06-17,Boehm-Dooley,El Teniente
325,250703,redes sociales,1992-07-21,"Okuneva, Vonrueden And Quigley",Pullalli
326,223337,redes sociales,1994-08-07,Botsford-Romaguera,Caleta El Cobre
327,865600,redes sociales,2019-08-20,Rogahn-Leannon,Eaton Vance Corporation
328,987452,marcha,2015-04-22,Adem,Tuina
329,604707,redes sociales,2004-02-29,Mueller-Simonis,"support.com, Inc."
330,981825,redes sociales,2018-01-04,"Bernier, Shields And Mraz","XO Group, Inc."
331,148170,redes sociales,1974-11-24,"Oberbrunner, Cremin And Gislason","China Lodging Group, Limited"
332,576738,marcha,2006-05-23,"Konopelski, Schaefer And Feil","Hawkins, Inc."
333,128407,marcha,2007-09-19,Koch ,Navío
334,326274,redes sociales,2016-04-19,Bahringer-Johnston,"Sierra Oncology, Inc."
335,87307,redes sociales,1984-08-30,Frami Group,Las Cenizas
336,373055,redes sociales,2014-11-19,Tromp ,"International Seaways, Inc."
337,765860,marcha,1997-10-24,Gusikowski-Emard,"German American Bancorp, Inc."
338,40125,redes sociales,1992-05-11,Ullrich Inc,Las Cenizas
339,605401,marcha,1976-05-07,"Hackett, Lockman And Littel",Romeral
340,306059,redes sociales,2018-08-26,Nolan Group,Peabody Energy Corporation
341,812634,redes sociales,1999-06-07,Brekke-Crist,"Adams Diversified Equity Fund, Inc."
342,269046,marcha,2001-06-28,Prohaska Inc,United Microelectronics Corporation
343,474721,redes sociales,1996-08-23,Hermiston And Sons,Terreno Realty Corporation
344,647898,marcha,2004-10-31,Hettinger-Nolan,Andes Travertine
345,475280,marcha,1976-12-22,Muller Inc,"LM Funding America, Inc."
346,702210,redes sociales,2016-11-04,"Carroll, Dubuque And Schultz",CoreSite Realty Corporation
