id,tipo_contenido,duración (días)
759,video,87
761,imagenes,1
764,audio,37
765,spam,50
766,audio,9
767,spam,58
769,imagenes,42
770,video,22
771,imagenes,37
774,imagenes,82
775,imagenes,76
776,video,84
778,video,78
782,audio,45
783,spam,50
784,audio,39
785,video,66
789,audio,12
790,audio,45
791,video,73
792,video,45
793,spam,12
794,video,4
795,audio,31
798,spam,79
800,spam,7
801,spam,61
802,imagenes,50
804,imagenes,7
805,imagenes,7
809,audio,78
810,audio,66
811,audio,8
812,video,85
813,audio,7
816,imagenes,58
817,audio,61
818,spam,77
826,audio,20
829,audio,73
830,imagenes,13
831,imagenes,3
832,imagenes,79
834,video,15
840,audio,57
841,spam,90
843,imagenes,25
847,audio,28
848,imagenes,54
849,imagenes,51
850,imagenes,11
853,imagenes,43
854,spam,19
855,audio,59
856,imagenes,48
857,spam,44
863,imagenes,47
865,imagenes,74
866,imagenes,66
867,imagenes,63
868,imagenes,36
869,video,49
870,imagenes,89
871,audio,77
875,spam,65
876,audio,43
877,video,52
878,audio,32
882,video,52
883,video,74
884,audio,1
887,audio,13
891,video,84
893,video,85
894,video,25
897,spam,21
902,video,57
905,spam,69
906,video,46
912,spam,24
913,spam,58
914,video,3
917,audio,35
920,audio,20
921,audio,17
923,video,75
925,imagenes,73
927,audio,54
929,audio,25
930,video,51
935,video,88
938,video,51
941,imagenes,36
942,video,67
944,audio,22
946,audio,83
950,imagenes,6
952,spam,26
953,audio,80
954,audio,5
956,audio,38
957,video,48
961,spam,35
962,audio,20
966,video,38
969,imagenes,4
970,audio,37
971,audio,3
972,audio,32
973,audio,38
974,video,8
975,spam,68
977,imagenes,31
978,video,2
979,imagenes,30
980,audio,37
981,spam,16
985,imagenes,65
986,imagenes,89
987,imagenes,9
990,audio,15
991,imagenes,68
994,imagenes,13
995,audio,76
996,spam,26
998,video,52
1000,spam,80
1001,spam,63
1005,imagenes,14
1006,audio,10
1010,audio,20
1011,audio,10
1015,audio,36
1016,video,33
1017,imagenes,83
1019,imagenes,54
1020,imagenes,9
1023,spam,2
1024,spam,65
1027,spam,18
1029,spam,73
1031,imagenes,11
1035,spam,25
1036,audio,77
1037,imagenes,15
1038,audio,67
1040,imagenes,7
1041,audio,23
1043,video,45
1045,audio,42
1047,audio,54
1051,video,21
1052,video,29
1053,spam,50
1056,audio,3
1057,audio,65
1058,video,11
1059,video,90
1060,spam,12
1061,spam,18
1063,audio,6
1065,imagenes,70
1068,video,82
1069,audio,31
1073,spam,75
1075,imagenes,70
1076,spam,36
1077,spam,1
1090,video,14
1091,video,85
1092,imagenes,1
1094,audio,38
1096,spam,87
1098,audio,56
1099,audio,17
1102,imagenes,87
1104,imagenes,70
1106,spam,56
1108,imagenes,47
1109,audio,5
1110,spam,54
1112,spam,58
1114,video,43
1117,imagenes,43
1119,audio,58
1120,spam,30
1122,imagenes,16
1123,video,68
1125,audio,59
1127,imagenes,76
1128,imagenes,8
1131,imagenes,31
1132,spam,87
1136,video,70
1137,spam,24
1138,imagenes,32
1139,spam,19
1141,imagenes,63
1144,imagenes,68
1146,video,37
1147,audio,41
1148,audio,51
1149,imagenes,16
1150,audio,31
1151,audio,43
1154,spam,65
1157,imagenes,29
1159,imagenes,20
1161,audio,73
1162,imagenes,37
1166,imagenes,33
1167,imagenes,13
1169,audio,50
1170,video,89
1171,spam,16
1175,audio,27
1176,audio,46
1177,audio,21
1178,video,48
1180,audio,51
1181,imagenes,44
1182,spam,82
1185,video,59
1186,imagenes,22
1187,spam,68
1189,imagenes,83
1190,spam,49
1191,video,36
1192,video,40
1193,spam,88
1194,spam,57
1197,audio,63
1198,spam,14
1200,imagenes,79
1203,audio,9
1204,video,90
1206,imagenes,88
1208,audio,50
1213,audio,40
1214,imagenes,78
1218,video,17
1221,video,39
1223,video,65
1226,audio,55
1228,imagenes,82
1230,audio,65
1232,spam,41
1233,imagenes,15
1234,video,63
1236,audio,68
1239,video,4
1240,video,27
1241,spam,85
1245,audio,33
1247,imagenes,38
1248,video,23
1249,imagenes,29
1250,spam,39
1252,imagenes,80
1255,audio,88
1259,spam,52
1260,imagenes,25
1261,spam,4
1263,audio,72
1264,video,77
1266,imagenes,17
1267,audio,49
1270,audio,75
1271,spam,63
1273,imagenes,24
1274,audio,14
1278,imagenes,77
1280,video,29
1284,spam,71
1293,audio,41
1295,spam,27
1296,spam,60
1297,spam,89
1304,imagenes,61
1305,imagenes,32
1307,imagenes,8
1308,spam,60
1313,video,28
1314,imagenes,82
1316,spam,26
1319,imagenes,42
1323,audio,79
1326,imagenes,88
1327,audio,81
1329,spam,59
1332,imagenes,73
1334,audio,27
1335,video,85
1336,spam,47
1338,audio,27
1339,audio,15
1340,video,87
1341,video,4
1346,video,71
1353,audio,41
1354,spam,59
1356,imagenes,80
1357,spam,36
1358,imagenes,38
1361,spam,79
1363,spam,72
1364,imagenes,40
1365,spam,76
1366,spam,71
1369,audio,87
1371,imagenes,5
1372,video,8
1374,imagenes,40
1375,spam,71
1377,spam,14
1379,video,19
1380,video,72
1382,spam,36
1383,imagenes,38
1385,spam,67
1386,spam,58
1388,imagenes,65
1389,imagenes,43
1392,audio,36
1395,imagenes,3
1396,video,4
1397,spam,27
1398,spam,3
1401,spam,53
1403,video,54
1408,spam,30
1409,spam,72
1410,spam,89
1413,spam,11
1417,spam,7
1420,spam,82
1421,video,86
1423,imagenes,7
1424,audio,22
1425,audio,45
1429,video,64
1430,imagenes,87
1431,imagenes,31
1433,video,58
1435,spam,27
1440,video,10
1441,audio,70
1446,imagenes,39
1447,audio,50
1453,imagenes,17
1454,audio,34
1456,video,65
1457,audio,51
1459,video,53
1460,spam,44
1461,video,55
1462,audio,80
1465,imagenes,55
1466,spam,62
1469,spam,47
1470,video,85
1472,video,51
1473,audio,2
1475,audio,30
1477,video,73
1478,imagenes,56
1479,imagenes,17
1480,video,42
1481,spam,41
1483,imagenes,3
1484,spam,64
1485,video,4
1486,spam,24
1489,video,25
1490,audio,20
1492,video,49
1496,audio,83
1499,imagenes,61
1500,audio,89
1501,imagenes,61
1502,video,38
1504,audio,70
1507,imagenes,75
1508,imagenes,6
1510,spam,88
1511,audio,30
1512,video,20
1515,audio,40
1517,spam,90
1518,spam,56
1521,video,10
1527,audio,27
1528,spam,22
1531,spam,76
1532,video,77
1533,audio,18
1534,imagenes,65
1535,video,26
1541,spam,28
1542,imagenes,45
1547,audio,38
1548,imagenes,29
1549,spam,17
1550,audio,65
1552,audio,33
1554,spam,28
1556,video,36
1557,imagenes,9
1561,imagenes,23
1563,video,80
1569,video,28
1571,video,43
1572,spam,17
1574,audio,65
1575,imagenes,89
1576,imagenes,16
1577,spam,47
1578,imagenes,79
1579,video,33
1581,video,50
1583,spam,12
1584,spam,3
1586,audio,24
1587,audio,37
1589,audio,58
1593,video,49
1595,video,86
1596,audio,68
1597,imagenes,32
1598,spam,23
1602,spam,25
1603,imagenes,86
1604,video,40
1605,spam,33
1607,spam,27
1609,imagenes,64
1610,spam,70
1614,video,42
1615,spam,69
1616,video,40
1617,imagenes,11
1618,video,54
1621,spam,41
1622,spam,57
1623,spam,6
1624,spam,26
1625,video,87
1628,spam,40
1630,imagenes,60
1632,audio,41
1633,audio,79
1636,spam,9
1637,video,11
1638,imagenes,14
1648,audio,62
1649,audio,65
1650,spam,25
1656,audio,20
1658,video,31
1660,audio,71
1661,video,70
1662,imagenes,42
1665,audio,36
1666,audio,79
1667,imagenes,89
1678,imagenes,88
1679,spam,9
1681,video,53
1683,spam,22
1685,video,54
1687,audio,67
1689,spam,37
1691,video,9
1692,video,67
1696,spam,23
1698,spam,57
1699,video,28
1700,video,10
1701,spam,40
1705,imagenes,61
1706,audio,68
1709,imagenes,19
1712,video,50
1716,video,3
1718,imagenes,56
1719,audio,25
1721,audio,49
1722,spam,13
1723,video,24
1724,spam,7
1725,video,22
1726,video,66
1727,spam,33
1728,audio,8
1730,video,26
1732,video,27
1733,audio,52
1736,audio,32
1737,spam,27
1738,spam,65
1740,imagenes,37
1741,audio,63
1742,spam,47
1744,audio,10
1745,spam,85
1746,spam,52
1747,imagenes,53
1748,audio,26
1753,audio,11
1756,video,88
1759,spam,37
1761,spam,37
1764,audio,57
1765,video,52
1767,spam,12
1768,imagenes,85
1770,spam,52
1774,imagenes,63
1777,imagenes,41
1783,spam,83
1784,imagenes,80
1786,imagenes,52
1789,imagenes,20
1793,video,5
1796,audio,8
1797,audio,73
1800,imagenes,20
1805,audio,46
1806,imagenes,61
1808,spam,88
1809,spam,18
1810,audio,87
1816,video,18
1817,audio,43
1819,video,55
1821,audio,2
1824,spam,14
1825,imagenes,36
1828,spam,65
1829,imagenes,74
1831,spam,2
1832,spam,70
1833,audio,64
1841,audio,24
1842,imagenes,58
1844,spam,5
1845,spam,31
1848,imagenes,55
1853,audio,83
1854,imagenes,57
1856,imagenes,50
1859,spam,38
1860,imagenes,40
1861,audio,69
1862,audio,3
1864,imagenes,4
1865,imagenes,64
1866,spam,18
1867,imagenes,21
1872,audio,24
1874,audio,11
1876,imagenes,72
1877,audio,27
1878,spam,27
1879,spam,28
1881,imagenes,29
1884,spam,58
1886,video,27
1888,video,14
1889,spam,54
1891,imagenes,76
1894,video,65
1897,video,27
1898,audio,66
1899,spam,69
1901,imagenes,6
1903,imagenes,28
1904,video,20
1906,spam,58
1907,audio,30
1908,audio,43
1909,imagenes,81
1910,spam,35
1914,spam,10
1916,imagenes,16
1917,audio,42
1918,video,31
1920,spam,35
1922,audio,56
1923,audio,75
1929,video,19
1931,imagenes,44
1934,imagenes,41
1935,audio,40
1937,spam,85
1940,audio,67
1943,spam,26
1945,video,24
1947,spam,42
1948,audio,59
1949,video,74
1951,audio,4
1952,spam,39
1953,audio,58
1955,spam,19
1956,audio,29
1958,video,47
1959,audio,60
1960,spam,64
1961,imagenes,21
1965,video,4
1966,audio,84
1968,spam,3
1971,spam,60
1972,imagenes,77
1973,imagenes,27
1975,imagenes,90
1977,imagenes,20
1978,audio,60
1981,imagenes,18
1984,imagenes,16
1986,audio,36
1987,audio,79
1991,spam,53
1994,audio,4
1995,video,35
1996,spam,73
1997,video,34
1998,video,8
1999,audio,16
2000,audio,41
2001,video,7
2002,spam,21
2003,imagenes,89
2004,audio,75
2005,audio,26
2006,imagenes,89
2008,spam,65
2010,video,43
2011,audio,49
2014,video,89
2016,audio,54
2017,video,89
2019,video,3
2021,video,35
2023,spam,4
2024,video,88
2026,spam,56
2027,spam,19
2028,video,34
2029,imagenes,44
2030,video,55
2033,audio,66
2034,imagenes,79
2037,spam,3
2039,video,43
2041,spam,54
2044,video,81
2046,video,82
2048,imagenes,40
2052,audio,30
2053,spam,32
2054,video,77
2055,video,67
2056,spam,60
2058,spam,83
2059,spam,53
2060,audio,66
2062,spam,52
2064,video,39
2067,audio,87
2069,spam,14
2070,video,54
2071,audio,53
2072,spam,60
2075,imagenes,10
2076,audio,18
2078,video,44
2082,video,12
2084,imagenes,47
2086,video,49
2091,spam,34
2092,audio,90
2094,video,62
2095,spam,66
2096,audio,48
2098,spam,75
2101,video,43
2106,audio,22
2108,video,15
2110,spam,28
2113,audio,18
2114,spam,80
2115,imagenes,45
2117,video,78
2118,spam,83
2120,spam,42
2123,imagenes,3
2129,video,28
2133,video,78
2137,video,54
2139,imagenes,63
2141,spam,78
2142,spam,39
2143,spam,21
2144,spam,80
2147,spam,67
2149,video,55
2151,audio,79
2152,audio,40
2153,imagenes,46
2154,imagenes,24
2155,imagenes,4
2156,audio,61
2159,imagenes,75
2161,spam,85
2163,imagenes,48
2166,imagenes,61
2169,spam,40
2170,video,60
2171,imagenes,44
2173,audio,32
2174,spam,57
2175,spam,9
2177,spam,90
2179,imagenes,23
2181,video,56
2182,audio,74
2186,imagenes,87
2187,spam,71
2191,spam,7
2192,imagenes,46
2194,video,12
2196,audio,40
2197,audio,28
2198,audio,83
2200,audio,84
2201,spam,1
2202,audio,53
2203,audio,9
2205,audio,4
2206,imagenes,85
2207,video,5
2208,video,58
2209,audio,37
2210,imagenes,85
2211,imagenes,61
2212,imagenes,5
2213,spam,47
2216,imagenes,42
2218,spam,10
2220,spam,90
2224,spam,61
2225,audio,82
2226,spam,63
2229,spam,48
2230,audio,40
2231,audio,89
2234,video,10
2235,audio,40
2236,spam,81
2241,video,27
2244,spam,1
2249,imagenes,71
2251,imagenes,27
2252,imagenes,29
2255,video,87
2256,spam,19
2257,video,32
2260,imagenes,41
2262,spam,89
2263,imagenes,90
2265,audio,35
2266,audio,23
2267,imagenes,86
2271,video,70
2273,imagenes,23
2276,imagenes,46
2281,audio,77
2284,imagenes,67
2285,spam,57
2289,spam,15
2290,video,61
2296,spam,59
2300,video,13
2301,spam,36
2303,audio,31
2305,video,81
2308,imagenes,27
2311,audio,56
2313,video,22
2315,imagenes,20
2316,spam,15
2318,spam,63
2320,imagenes,16
2322,audio,27
2324,spam,26
2325,imagenes,1
2326,audio,54
2327,audio,40
2328,imagenes,90
2329,spam,69
2331,video,11
2333,spam,5
2335,imagenes,31
2336,audio,14
2337,video,26
2343,imagenes,40
2344,video,90
2345,video,33
2346,video,83
2348,video,20
2350,spam,39
2353,audio,37
2354,video,35
2356,video,51
2360,video,36
2364,imagenes,63
2365,spam,23
2366,spam,89
2367,imagenes,6
2369,imagenes,29
2371,spam,17
2376,audio,64
2378,spam,79
2383,spam,3
2384,spam,53
2387,video,79
2388,video,65
2390,video,26
2396,imagenes,56
2397,audio,47
2401,audio,5
2403,spam,50
2407,imagenes,81
2408,audio,17
2410,video,82
2411,video,9
2412,video,69
2415,imagenes,28
2418,video,51
2420,video,43
2428,audio,1
2429,spam,14
2430,video,28
2433,spam,11
2435,video,63
2436,spam,87
2439,imagenes,86
2440,imagenes,65
2441,spam,24
2443,video,55
2445,video,9
2449,imagenes,76
2450,spam,21
2453,spam,86
2455,imagenes,88
2456,audio,78
2457,imagenes,63
2459,spam,10
2461,imagenes,3
2463,video,45
2465,spam,29
2467,spam,82
2469,imagenes,51
2471,video,21
2472,video,85
2475,audio,77
2476,imagenes,33
2477,imagenes,22
2478,spam,74
2480,spam,4
2482,video,24
2486,imagenes,73
2488,video,70
2489,imagenes,6
2490,video,62
2494,spam,26
2495,imagenes,74
2497,imagenes,81
2499,spam,85
2500,imagenes,34
2502,imagenes,61
2503,spam,48
2504,imagenes,30
2505,video,12
2506,audio,43
2509,audio,71
2510,audio,45
2511,spam,64
2512,spam,10
2513,audio,5
2514,imagenes,33
2516,spam,63
2518,spam,21
2519,audio,46
2521,imagenes,9
2524,spam,42
2526,imagenes,48
2527,imagenes,59
2534,imagenes,59
2536,audio,36
2537,imagenes,40
2538,audio,13
2540,imagenes,47
2545,video,25
2547,imagenes,69
2549,audio,49
2553,imagenes,36
2558,audio,88
2559,audio,29
2561,video,77
2564,video,29
2566,audio,63
2568,video,33
2570,spam,51
2571,audio,60
2573,audio,90
2576,audio,21
2577,spam,88
2579,video,13
2582,audio,19
2583,imagenes,61
2585,imagenes,33
2587,audio,50
2588,imagenes,39
2589,audio,24
2591,spam,4
2593,imagenes,20
2595,video,43
2596,audio,11
2597,spam,75
2599,video,26
2600,spam,53
2601,audio,41
2604,audio,15
2605,video,18
2607,audio,15
2611,spam,4
2614,video,80
2619,imagenes,56
2620,spam,16
2621,spam,19
2623,spam,46
2629,imagenes,79
2630,imagenes,69
2631,video,7
2632,imagenes,3
2633,video,13
2634,spam,80
2635,spam,75
2636,imagenes,2
2637,audio,23
2639,video,87
2641,spam,1
2642,audio,82
2647,video,43
2648,imagenes,19
2650,audio,44
2651,imagenes,58
2652,video,55
2653,imagenes,12
2654,imagenes,52
2657,audio,13
2658,video,71
2659,imagenes,61
2664,imagenes,56
2666,spam,70
2667,audio,43
2668,audio,13
2670,audio,62
2672,video,41
2673,spam,70
2674,imagenes,72
2675,imagenes,37
2677,audio,30
2679,video,77
2681,spam,32
2683,spam,57
2685,video,61
2686,imagenes,64
2690,spam,80
2696,video,28
2698,spam,31
2701,audio,59
2703,spam,90
2708,video,62
2710,spam,85
2712,imagenes,20
2714,audio,55
2715,imagenes,42
2716,video,42
2719,imagenes,86
2720,spam,72
2721,imagenes,19
2725,audio,51
2727,video,30
2731,spam,1
2733,imagenes,53
2737,spam,43
2739,imagenes,73
2741,spam,10
2743,audio,12
2744,video,6
2746,video,1
2748,imagenes,34
2751,imagenes,77
2754,imagenes,53
2757,spam,41
2758,imagenes,45
2759,imagenes,40
2760,video,76
2763,video,78
2767,spam,56
2770,imagenes,53
2772,video,69
2776,audio,65
2780,imagenes,30
2782,video,32
2784,spam,47
2787,spam,48
2789,video,63
2792,video,55
2794,audio,87
2801,video,77
2802,imagenes,86
2807,audio,29
2808,video,18
2809,imagenes,59
2812,imagenes,85
2813,spam,82
2816,imagenes,59
2822,audio,79
2823,spam,32
2825,spam,63
2830,audio,74
2835,imagenes,11
2836,video,25
2838,spam,42
2840,audio,76
2842,imagenes,64
2843,video,50
2845,spam,42
2846,audio,43
2848,imagenes,2
2850,spam,81
2851,video,47
2853,video,15
2856,spam,69
2859,audio,82
2860,imagenes,55
2862,spam,40
2866,imagenes,89
2869,imagenes,52
2870,video,30
2871,spam,74
2873,audio,71
2876,imagenes,4
2878,audio,9
2879,audio,27
2884,spam,85
2887,video,75
2892,imagenes,35
2893,audio,4
2894,video,75
2895,imagenes,90
2896,audio,72
2897,audio,1
2900,imagenes,79
2903,imagenes,72
2904,spam,25
2905,spam,62
2906,audio,52
2907,video,54
2911,video,77
2912,video,27
2913,spam,67
2916,imagenes,30
2918,audio,62
2919,video,84
2920,audio,4
2921,video,23
2922,imagenes,43
2926,video,47
2928,video,90
2930,audio,23
2931,audio,64
2933,imagenes,59
2934,spam,25
2937,spam,36
2939,spam,67
2940,video,53
2942,spam,35
2944,video,40
2949,spam,74
2951,video,58
2952,spam,71
2954,audio,65
2956,audio,15
2959,imagenes,62
2961,video,60
2962,audio,38
2964,spam,67
2967,imagenes,63
2969,video,39
2973,imagenes,13
2975,video,78
2976,imagenes,18
2977,audio,9
2978,video,19
2979,spam,85
2981,video,19
2982,video,36
2983,video,1
2984,audio,84
2985,audio,26
2986,imagenes,56
2987,imagenes,39
2991,spam,65
2992,spam,37
2993,video,44
2996,video,25
2997,imagenes,11
2999,audio,48
3000,video,56
3004,imagenes,81
3009,imagenes,16
3010,audio,86
3011,video,34
3014,video,30
3018,video,57
3021,spam,35
3022,video,79
3023,imagenes,16
3025,audio,88
3029,video,80
3031,spam,25
3032,imagenes,11
3034,video,6
3035,spam,22
3037,spam,62
3040,spam,83
3041,imagenes,30
3042,video,14
3044,audio,55
3047,video,64
3048,imagenes,76
3052,spam,7
3054,audio,39
3055,imagenes,67
3058,audio,70
3059,spam,80
3062,audio,68
3064,spam,66
3070,imagenes,79
3071,audio,82
3073,imagenes,22
3074,imagenes,11
3075,audio,84
3077,spam,62
3078,audio,23
3080,imagenes,81
3082,imagenes,77
3085,spam,15
3086,spam,10
3087,video,35
3090,video,47
3091,imagenes,66
3094,imagenes,7
3095,video,48
3100,video,74
3102,imagenes,4
3104,video,62
3107,spam,86
3111,imagenes,50
3113,video,35
3119,spam,28
3120,imagenes,49
3121,video,52
3126,audio,58
3128,audio,50
3133,spam,44
3135,spam,7
3138,audio,66
3139,spam,17
3143,spam,1
3144,audio,53
3145,video,78
3146,imagenes,81
3147,audio,61
3153,video,25
3154,audio,20
3157,audio,70
3163,spam,20
3164,video,12
3171,audio,76
3173,audio,24
3177,imagenes,29
3183,video,65
3184,audio,89
3186,video,48
3188,spam,45
3189,imagenes,89
3190,imagenes,46
3191,imagenes,66
3194,audio,72
3197,imagenes,46
3200,video,21
3203,spam,7
3204,audio,39
3205,video,90
3207,video,25
3209,spam,60
3210,audio,40
3213,spam,4
3216,audio,4
3217,imagenes,25
3219,video,27
3220,imagenes,65
3221,spam,70
3224,video,31
3227,audio,62
3232,audio,1
3234,video,42
3235,imagenes,20
3237,video,4
3238,imagenes,59
3239,video,57
3240,audio,49
3241,audio,90
3244,imagenes,39
3245,audio,53
3248,video,16
3250,audio,12
3252,audio,2
3255,spam,83
3257,spam,23
3260,imagenes,10
3262,video,53
3263,audio,17
3264,imagenes,58
3265,video,57
3267,audio,90
3268,audio,15
3272,video,14
3273,spam,52
3274,audio,46
3276,video,54
3277,audio,35
3281,spam,51
3282,audio,68
3285,video,25
3286,spam,87
3287,video,84
3288,video,82
3289,audio,76
3290,video,70
3292,video,15
3298,imagenes,53
3299,spam,35
3303,audio,43
3304,audio,45
3305,video,83
3308,audio,82
3309,video,69
3311,spam,90
3314,imagenes,26
3316,audio,61
3317,imagenes,86
3318,audio,58
3321,imagenes,83
3323,video,25
3324,audio,41
3326,video,38
3328,audio,50
3334,audio,14
3335,spam,25
3338,spam,47
3339,spam,16
3341,spam,53
3342,spam,28
3343,imagenes,26
3344,spam,43
3345,audio,45
3346,imagenes,77
3349,imagenes,39
3353,imagenes,72
3357,imagenes,5
3359,imagenes,61
3360,imagenes,75
3362,spam,31
3365,imagenes,14
3367,video,15
3370,video,88
3373,imagenes,22
3379,video,74
3380,video,62
3381,imagenes,39
3382,spam,73
3383,imagenes,26
3384,spam,73
3385,imagenes,17
3386,spam,17
3389,spam,16
3390,video,72
3393,imagenes,90
3394,imagenes,8
3395,video,83
3396,spam,32
3399,spam,57
3400,imagenes,26
3401,video,4
3402,imagenes,89
3403,audio,28
3404,video,90
3405,spam,8
3410,audio,86
3412,video,25
3413,video,29
3415,video,62
3416,audio,35
3417,imagenes,43
3419,spam,43
3421,video,50
3422,video,28
3423,imagenes,43
3424,imagenes,20
3427,video,20
3428,spam,51
3429,audio,2
3434,imagenes,30
3435,imagenes,83
3436,video,90
3437,video,89
3438,spam,49
3439,imagenes,66
3441,spam,12
3443,spam,21
3444,audio,58
3446,video,28
3448,video,61
3449,audio,18
3451,video,26
3452,audio,15
3453,video,23
3455,spam,69
3456,video,55
3458,spam,53
3459,audio,15
3460,video,85
3463,spam,62
3466,video,27
3469,audio,52
3471,audio,86
3472,spam,90
3473,imagenes,85
3474,spam,25
3479,spam,27
3482,spam,8
3484,imagenes,52
3487,video,8
3490,spam,69
3493,audio,34
3498,video,24
3503,imagenes,31
3507,imagenes,90
3508,spam,25
3512,video,30
3515,spam,21
3520,imagenes,11
3521,video,44
