región de tramitación,comuna de tramitación
V de Valparaíso,Concón
III de Atacama,Copiapó
X de Los Lagos,Hualaihué
IV de Coquimbo,Río Hurtado
XVI de Ñuble,San Fabián
XII de Magallanes y de La Antártica Chilena,Natales
XII de Magallanes y de La Antártica Chilena,Torres del Paine
X de Los Lagos,Castro
VII del Maule,Linares
XIV de Los Ríos,Paillaco
V de Valparaíso,Santa María
V de Valparaíso,Juan Fernández
IV de Coquimbo,Coquimbo
VIII del Bío-Bío,Florida
VIII del Bío-Bío,Hualpén
XVI de Ñuble,Chillán
IV de Coquimbo,La Higuera
XVI de Ñuble,Treguaco
XI de Aysén del General Carlos Ibáñez del Campo,O'Higgins
IX de La Araucanía,Victoria
VI del Libertador General Bernardo O'Higgins,Codegua
XI de Aysén del General Carlos Ibáñez del Campo,Lago Verde
XVI de Ñuble,San Nicolás
XV de Arica y Parinacota,Putre
XII de Magallanes y de La Antártica Chilena,Punta Arenas
XVI de Ñuble,Coelemu
XVI de Ñuble,Yungay
IV de Coquimbo,La Serena
XVI de Ñuble,Chillán Viejo
Metropolitana de Santiago,San José de Maipo
I de Tarapacá,Alto Hospicio
VI del Libertador General Bernardo O'Higgins,Machalí
V de Valparaíso,Putaendo
VIII del Bío-Bío,Yumbel
VIII del Bío-Bío,Antuco
II de Antofagasta,Tocopilla
V de Valparaíso,Viña del Mar
X de Los Lagos,Puyehue
V de Valparaíso,Casablanca
Metropolitana de Santiago,El Monte
VII del Maule,Talca
V de Valparaíso,Quilpué
VIII del Bío-Bío,Arauco
IX de La Araucanía,Cholchol
XII de Magallanes y de La Antártica Chilena,Antártica
Metropolitana de Santiago,San Pedro
Metropolitana de Santiago,Melipilla
V de Valparaíso,El Quisco
VII del Maule,Molina
Metropolitana de Santiago,El Bosque
V de Valparaíso,Nogales
III de Atacama,Huasco
XVI de Ñuble,Ránquil
IX de La Araucanía,Collipulli
XVI de Ñuble,El Carmen
V de Valparaíso,Algarrobo
XVI de Ñuble,Quirihue
VI del Libertador General Bernardo O'Higgins,Pumanque
I de Tarapacá,Pica
X de Los Lagos,Puerto Octay
X de Los Lagos,San Pablo
VII del Maule,San Javier
VII del Maule,Longaví
X de Los Lagos,Cochamó
V de Valparaíso,Petorca
XIV de Los Ríos,Río Bueno
XVI de Ñuble,Quillón
IX de La Araucanía,Gorbea
IV de Coquimbo,Andacollo
XV de Arica y Parinacota,General Lagos
VIII del Bío-Bío,Concepción
V de Valparaíso,Catemu
XVI de Ñuble,Ñiquén
XIV de Los Ríos,Valdivia
V de Valparaíso,Limache
Metropolitana de Santiago,Colina
XVI de Ñuble,Bulnes
XVI de Ñuble,Pemuco
IX de La Araucanía,Ercilla
VI del Libertador General Bernardo O'Higgins,Paredones
XIV de Los Ríos,Máfil
VII del Maule,Empedrado
Metropolitana de Santiago,Calera de Tango
Metropolitana de Santiago,Puente Alto
X de Los Lagos,San Juan de la Costa
Metropolitana de Santiago,Buin
IX de La Araucanía,Toltén
Metropolitana de Santiago,Cerro Navia
VIII del Bío-Bío,Hualqui
V de Valparaíso,La Cruz
V de Valparaíso,San Esteban
Metropolitana de Santiago,Quinta Normal
VII del Maule,Curepto
V de Valparaíso,Papudo
III de Atacama,Freirina
X de Los Lagos,Puerto Montt
VII del Maule,Cauquenes
IX de La Araucanía,Villarrica
VI del Libertador General Bernardo O'Higgins,Litueche
V de Valparaíso,Isla de Pascua
IX de La Araucanía,Renaico
XVI de Ñuble,San Carlos
XI de Aysén del General Carlos Ibáñez del Campo,Río Ibáñez
X de Los Lagos,Los Muermos
